content,playCount,name
66666,44533045,怪笑少女
我居然看完了,44533045,怪笑少女
多看看会就明白了,44533045,怪笑少女
我咋看到男主穿的铠甲后面是门帘呢,44533045,怪笑少女
"垃圾中的垃圾电影,看了后悔浪费时间.",44533045,怪笑少女
为啥店铺老板在青楼吹笛子,44533045,怪笑少女
什么时候播放,44533045,怪笑少女
太妈烂了,44533045,怪笑少女
dui,44533045,怪笑少女
太差劲了,44533045,怪笑少女
0.5分我都觉得多，真是烂透了，骗子！！,44533045,怪笑少女
好无聊。。,44533045,怪笑少女
垃圾中的垃圾,44533045,怪笑少女
9494,44533045,怪笑少女
这么垃圾还要vip.骗子 大骗子,44533045,怪笑少女
嚄呕二十多额、；看看’就有、、快、,44533045,怪笑少女
ygfdaqws,44533045,怪笑少女
太阳他。个给哥哥’‘费用噢心、慢给忒、,44533045,怪笑少女
日个哥哥过古。人飞家，，一，过。茹虎=跑考。雨给用、。人。不服几‘。的噢。,44533045,怪笑少女
g,44533045,怪笑少女
这电影是30年来看的最好看的电影,44533045,怪笑少女
真的太好看了,44533045,怪笑少女
这男主还能长得再丑点吧,44533045,怪笑少女
什么鬼,44533045,怪笑少女
长这样还当主角？这是什么心态来拍这个片子,44533045,怪笑少女
垃圾,44533045,怪笑少女
烂片 差评差评！！！,44533045,怪笑少女
浪费时间 什么鬼东西 真是烂,44533045,怪笑少女
奔着封面男主进来的,44533045,怪笑少女
尼玛 把封面P成另外一个明星的脸~！老子说怎么看完了 还没见到封面上的男主,44533045,怪笑少女
什么鬼~！,44533045,怪笑少女
我天 导演是没钱还是咋的 这男主 咳咳,44533045,怪笑少女
男主叫什么,44533045,怪笑少女
不怎么好看,44533045,怪笑少女
不用多说，一个字，烂,44533045,怪笑少女
卧槽,44533045,怪笑少女
什么玩意儿 冷汗,44533045,怪笑少女
演技太高明啦！,44533045,怪笑少女
"嗯,不错",44533045,怪笑少女
女主长得还行，题材也还行，可是当我看到男主那张脸，我就过段弃剧了，唉，其实我原本想看下去的,44533045,怪笑少女
看到男主的颜值，我醉了，妈呀！哪有那么丑的男主啊，女主也很丑。还是双世宠妃好看，要剧情有剧情，要颜值有颜值。,44533045,怪笑少女
没演技没颜值没剧情，三无电影。,44533045,怪笑少女
太烂了,44533045,怪笑少女
[呲牙],44533045,怪笑少女
虽然不火但推荐你们看,44533045,怪笑少女
哈哈,44533045,怪笑少女
特别,44533045,怪笑少女
挺好,44533045,怪笑少女
感觉还挺好的😄,44533045,怪笑少女
男主丑的看不下去。。。。。。剧情也狗血。。。。。,44533045,怪笑少女
太差劲了,44533045,怪笑少女
"垃圾中的垃圾电影,看了后悔浪费时间.",44533045,怪笑少女
真心为我们中国电影难过，社会把人都逼了都想去当演员当明星，什么烂的电影都有人拍有人演,44533045,怪笑少女
日个哥哥过古。人飞家，，一，过。茹虎=跑考。雨给用、。人。不服几‘。的噢。,44533045,怪笑少女
尼玛 把封面P成另外一个明星的脸~！老子说怎么看完了 还没见到封面上的男主,44533045,怪笑少女
虽然不火但推荐你们看,44533045,怪笑少女
男主角好丑，女主角也好丑，这部电影是不会火的还会招骂，什么烂电影啊，太难看了,44533045,怪笑少女
还是双世宠妃好看，这整的啥玩意儿,44533045,怪笑少女
0.5分我都觉得多，真是烂透了，骗子！！,44533045,怪笑少女
女主角略丑了点，有点看不下去，找演员能不能走心点,44533045,怪笑少女
男主香肠嘴好丑。。。角色不好看，剧情也很一般，还要vip晕,44533045,怪笑少女
又一部烂片《只看几分钟 果断关掉,44533045,怪笑少女
这电影是30年来看的最好看的电影,44533045,怪笑少女
如此无聊的剧情 我居然看完了 此剧看着挺轻松的 还行吧,44533045,怪笑少女
演员演的太假了，演的什么啊。不伦不类的古装剧,44533045,怪笑少女
浪费时间 什么鬼东西 真是烂,44533045,怪笑少女
长这样还当主角？这是什么心态来拍这个片子,44533045,怪笑少女
什么烂电影，这是我看过最烂的电影,44533045,怪笑少女
太阳他。个给哥哥’‘费用噢心、慢给忒、,44533045,怪笑少女
现在的电视剧是越来越垃圾了。,44533045,怪笑少女
好看吗,44533045,怪笑少女
这尼玛将军丑死 有点像金馆长 真恶心,44533045,怪笑少女
嚄呕二十多额、；看看’就有、、快、,44533045,怪笑少女
么劲，男主chuo死了【嫌弃】,44533045,怪笑少女
剧情好一般，嗨vip播放呢！烂透了,44533045,怪笑少女
那些配角 连普通话都讲不标准 什么玩意,44533045,怪笑少女
不好看,44533045,怪笑少女
我咋看到男主穿的铠甲后面是门帘呢,44533045,怪笑少女
如果要评分十分是满分，最多给三分,44533045,怪笑少女
我居然看了完了一部这么难看的电影,44533045,怪笑少女
这男主还能长得再丑点吧,44533045,怪笑少女
没演技没颜值没剧情，三无电影。,44533045,怪笑少女
谁看过，告诉我好看不好看,44533045,怪笑少女
我都看不懂 太虚了,44533045,怪笑少女
我天 导演是没钱还是咋的 这男主 咳咳,44533045,怪笑少女
好好看[呲牙][呲牙][呲牙],44533045,怪笑少女
太丑，,44533045,怪笑少女
垃圾电影... 给一分都多,44533045,怪笑少女
这么垃圾还要vip.骗子 大骗子,44533045,怪笑少女
男主好丑，果断弃剧,44533045,怪笑少女
这是卖薄荷口香糖的😂 大写的服,44533045,怪笑少女
道教啊 华夏本土宗教 被黑成这样,44533045,怪笑少女
烂片 差评差评！！！,44533045,怪笑少女
什么时候播放,44533045,怪笑少女
不用多说，一个字，烂,44533045,怪笑少女
剧情还行，就是有点假,44533045,怪笑少女
主角好丑。。。,44533045,怪笑少女
太差劲了,44533045,怪笑少女
为啥店铺老板在青楼吹笛子,44533045,怪笑少女
刚看完人好丑,44533045,怪笑少女
奔着封面男主进来的,44533045,怪笑少女
剧情真垃圾！！,44533045,怪笑少女
好无聊。。,44533045,怪笑少女
真的太好看了,44533045,怪笑少女
太妈烂了,44533045,怪笑少女
[微笑],44533045,怪笑少女
男主叫什么,44533045,怪笑少女
什么垃圾就推荐！,44533045,怪笑少女
什么鬼,44533045,怪笑少女
什么玩意儿 冷汗,44533045,怪笑少女
感觉还挺好的😄,44533045,怪笑少女
拍的什么 不好看,44533045,怪笑少女
ygfdaqws,44533045,怪笑少女
演技太高明啦！,44533045,怪笑少女
这桶好熟悉啊！,44533045,怪笑少女
垃圾剧情,44533045,怪笑少女
我竟然,44533045,怪笑少女
"嗯,不错",44533045,怪笑少女
有病就得病。,44533045,怪笑少女
长得都好丑啊,44533045,怪笑少女
不好看,44533045,怪笑少女
好狗血,44533045,怪笑少女
