content,playCount,name
很好看啊,25130252,时空送货人
content,playCount,name
我擦-_-#什么鬼👻 就这也要会员才能看。 尴尬一逼的电影！,25130000,时空送货人
怎么感觉垃圾片还老是要会员。去她妈的，老子充个会员就看这垃圾片。不要再把这样的垃圾片纳入会员系列好不？降低会员档次。,25130000,时空送货人
垃圾中的战斗机，果断看不下去了。机器人制作太假，林正英大呼：还我僵尸！女演员一看都是被潜上位的，演技烂到没有观众，特效五毛是给高分了，剧情不说大家都知实在道这是抄袭的。而且严重的侮辱了原作，不是不支持国产，实在没有一个让人能够支持的立足点，有钱拍这烂片，还不如支援贫困地区呢！,25130000,时空送货人
我就是想说，特效做起来很费钱吗？？？你拍的不好，特效认真做也行啊，不忍直视,25130000,时空送货人
才看开端就奔到评论区，果然跟我想的一样，各种喷，哈哈哈,25130000,时空送货人
拍不出好的镜头就不要学别人拍科幻片，什么玩意,25130000,时空送货人
剧情抄袭终结者也就算了，能不能好好拍，枪打在身上，机器人没反应？金刚石做的表面吗？先学会爬，再学跑好不好？,25130000,时空送货人
你们还是中国人吗？就知道喷。不就是没有外国人拍的好看嘛，也没必要这样说吧。这部科幻电影挺好看滴，是个好的开端。支持国产科幻片了顶顶顶顶顶顶顶顶顶顶顶顶顶顶,25130000,时空送货人
这部电影通篇充斥着浓浓的圈钱风，故事内容侮辱观众智商，特效画面神似廉价片，演员表演浮夸随意，画风无限贴近日式恶俗电影，台词无聊无趣无内涵，除了偶尔出现的道具可看之外，无一是处。如果不怕尴尬，心胸够大的话，倒是可以作为打炮背景音播放一下。,25130000,时空送货人
加速看的 ，垃圾片🤢🤢🤢没法喷下去了，兄弟们接着,25130000,时空送货人
真心无语，看了个开场，快进了一点，只能说这片子和谐的有点过分，拿枪突突半天结果一转画面没半点卵用，还不如踹一脚好使，僵尸大战还能出点液体，突突不了要跑你就果断跑不就玩事，果断耍帅再来两卡车豆腐子弹，机器人丧尸也倒是配合，挖掘机般的速度前行，剧情更是抄袭狗血的一比，装扮更是雨衣加风扇，我的天，从没评论过什么电影，这个真心忍不住，国产电影能有点良心作品么，当观众都是傻子啊，愿国产片能出点良心作品，良心导演，,25130000,时空送货人
看完了这部电影，我面色凝重，深深地低下头，默默的关掉手机，起身打开冰箱，拿出一瓶伊利QQ星，紧紧的握在手里，慢慢的走到窗前，窗外的景色有些暗淡，就如我的心情一样，沉重，很沉重……外面灰蒙蒙的天空下起了小雨，为什么会这样，视线模糊了，不知道是我流泪了还是雨太大，可能都有吧……我的心情更加忧郁了，我再也无法忍受内心的感情，我打开窗子，对着窗外仰天长啸：这他妈演的啥,25130000,时空送货人
这是演些什么啊，真笨这长头发男的，不知道打死那个臭日子女的，猪,25130000,时空送货人
天呢，雷死人了，起了一身得鸡皮疙瘩🐔,25130000,时空送货人
垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃,25130000,时空送货人
什么导演拍的烂片啊！真是受不了了，怎么会有这么奇怪的影片，而且演员的表演也好奇怪啊！我无语了。看名称非常有吸引力，一早就非常期待，但是真的是见光死啊！,25130000,时空送货人
各位喷子要客观的评论，一个年轻团队有这电影梦，他们在实实在在的努力，一个小投资的电影不可能和投资上亿美元的好莱坞电影比较，只要这个团队努力了，真正干了，你们就应该多鼓励，多点赞，只有这样中国电影才能有发展和提高，时空送货人团队辛苦了，加油！,25130000,时空送货人
我也是醉了，竟然看完了，当然是快进十五分钟看完。我只想说 我一直很喜欢看美国科幻电影，基本都被我看完了。不是我不支持国片，真的是垃圾中战斗机。一毛钱特效吧，演技 表情 太假了 ，同意的秒赞。,25130000,时空送货人
任何一部电影都是沥尽心血花了或多或少的心思制作而成，也许有很多跟这一样或更差的的电影，都是侮辱了我们的智商和思想，所以说拍片人智商有问题，我们这些观众不能评论这电影烂或辣鸡。影片之下，无奇不有，无奇不无。,25130000,时空送货人
👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻,25130000,时空送货人
这么完美的特效，再加上有这么实力派的演员，想不火都难。,25130000,时空送货人
这电影还是可以的,25130000,时空送货人
《时空送货人》上映不过短短一段时间，即引起国内外影迷一片热评。。。对不起大大们我错了！别扔臭鸡蛋和烂菜叶。。。打住打住 ，是，，是骂声！！真的是骂声！有人戏称《时空送货人》是「2017烂片第一劫」。科幻界第一大坑。弱鸡般的剧情，菊花般的演员，破铜烂铁的道具，5毛钱的特效，除了圈钱+积攒怨气，侮辱观众的智商，无一优点，惨遭大量负评洗版，惨不忍睹，「2017烂片第一劫」实至名归。史上有名的科幻烂片也不止这一部，眼睛被辣很多次，还是吃好喝好比较好。,25130000,时空送货人
还不错,25130000,时空送货人
谢谢大家，不然我又要浪费时间了,25130000,时空送货人
大河向东流啊这里的楼主解大手啊！〔嘿！嘿！解大手啊！〕〔嘿！嘿！解大手啊！〕拉不出屎一声吼啊！吼不出屎用手抠！风风火火解大手啊！〔嘿！嘿！解大手啊！〕〔嘿！嘿！解大手啊！〕抠不出来用铁钩啊！钩不出来血直流啊！风风火火解大手啊！大河向东流啊，咱们一起解大手啊，拉不出来一声吼啊，再不出来用手抠啊。你抠我抠大家抠啊，哎呀，依儿呀，嘿嘿咦儿呀抠出一碗八宝粥哇，你一口来他一口啊两口三口喝完粥啊……,25130000,时空送货人
菜的抠脚这特效，剧情真不忍直视，拍不起别拍,25130000,时空送货人
基因强化过的人类未必比机器差吧，人工智能不等于智能生命，当然，如果它进化出感情以及思维，可以给予高级人类的身份与保障还有自由，但相应的代价就是它会失去机器人一样的超强计算能力，各项能力都会被削弱，向人类看齐，USB接口立马移除，想要学习就必须像人类一样读书，同时机械体利用基因技术改造成肉体。,25130000,时空送货人
这tmd充会员没点意思哦，什么片子都能进入vip片库。,25130000,时空送货人
整部电影没看完，现在看不下去了！想吐的感觉,25130000,时空送货人
