content,playCount,name
富千金韩君瑶告诉晏书说你没回来之前夏姨像急疯了一样找人给你找对象给你相亲，后来看不惯晏书就骂她说：“怕你没人缘嫁不出去。”,1384950819,狐狸的夏天第一季
怼到深处自然甜♡.♡,1384950819,狐狸的夏天第一季
哈哈小泽泽哈吉吗哈哈哈😄😂😂,1384950819,狐狸的夏天第一季
谭松韵好可爱，娃娃脸的女明星就剩她了，千万别和郑爽一样整成锥子脸。。。,1384950819,狐狸的夏天第一季
6666669999,1384950819,狐狸的夏天第一季
一直感觉海莲娜好眼熟 终于想起来了 就是当年那个一起来看流星雨的慕容云朵,1384950819,狐狸的夏天第一季
1.50,1384950819,狐狸的夏天第一季
超级讨厌顾瑾昀，觉得自己很牛，本质上就是纨绔子弟，抛开身世，他一无所有，除了吃喝玩乐,1384950819,狐狸的夏天第一季
原来你和女主是同类人，都是不爱干净的，所以反应才这么大，不好意思我说错了。,1384950819,狐狸的夏天第一季
独孤天下 如果蜗牛有爱情,1384950819,狐狸的夏天第一季
嗯嗯是的,1384950819,狐狸的夏天第一季
你才恶心,1384950819,狐狸的夏天第一季
哈哈,1384950819,狐狸的夏天第一季
早就更完了好吧,1384950819,狐狸的夏天第一季
哈哈,1384950819,狐狸的夏天第一季
呵呵,1384950819,狐狸的夏天第一季
消毒柜,1384950819,狐狸的夏天第一季
活该,1384950819,狐狸的夏天第一季
第二部快点等不急了快点,1384950819,狐狸的夏天第一季
哈哈哈,1384950819,狐狸的夏天第一季
哈哈,1384950819,狐狸的夏天第一季
哈哈,1384950819,狐狸的夏天第一季
这是我最喜欢看的电视剧,1384950819,狐狸的夏天第一季
嘎嘎,1384950819,狐狸的夏天第一季
女 主 真 是 皮 得 可 爱 ！,1384950819,狐狸的夏天第一季
我想问问男主角的钱放在哪儿呢,1384950819,狐狸的夏天第一季
女主心是真的大，我的天呐,1384950819,狐狸的夏天第一季
哈哈,1384950819,狐狸的夏天第一季
黎宴书好搞笑哦，还是更喜欢男主一点,1384950819,狐狸的夏天第一季
哈哈,1384950819,狐狸的夏天第一季
谎话太多了不喜欢她！！！！,1384950819,狐狸的夏天第一季
拿行李走人啊，都这样了还在他家干嘛真是急人,1384950819,狐狸的夏天第一季
我想说丽都国际在我们小区旁边,1384950819,狐狸的夏天第一季
有的没有啊，什么会是啊,1384950819,狐狸的夏天第一季
哈哈,1384950819,狐狸的夏天第一季
还有车也只是宝马，和苏小姐约定的地方是个小店，哈哈，没档次～,1384950819,狐狸的夏天第一季
他电脑屏幕都没变过啊！,1384950819,狐狸的夏天第一季
好看,1384950819,狐狸的夏天第一季
姜潮是真的好帅啊！好喜欢,1384950819,狐狸的夏天第一季
哈哈哈,1384950819,狐狸的夏天第一季
吃货,1384950819,狐狸的夏天第一季
好看。。。。。。。。,1384950819,狐狸的夏天第一季
吃货韵,1384950819,狐狸的夏天第一季
哈哈,1384950819,狐狸的夏天第一季
有钱人都这么嚣张跋扈,1384950819,狐狸的夏天第一季
么么哒,1384950819,狐狸的夏天第一季
哈哈,1384950819,狐狸的夏天第一季
美美哒,1384950819,狐狸的夏天第一季
莫名的希望女1跟男2在一起,1384950819,狐狸的夏天第一季
哈哈,1384950819,狐狸的夏天第一季
有气质,1384950819,狐狸的夏天第一季
这里的台词不错,1384950819,狐狸的夏天第一季
韩君瑶和黎晏书pk大战，最后晏书气走了君瑶，君瑶不想和她斗了。,1384950819,狐狸的夏天第一季
必须的,1384950819,狐狸的夏天第一季
君瑶父亲让晏书去公司上班，君瑶说这样下后门不是侮辱别人吗，晏书说只要有工作不怕别人侮辱君瑶气得吃不下饭，筷子一丢，吃饱了，吃了一肚子气。,1384950819,狐狸的夏天第一季
呵呵,1384950819,狐狸的夏天第一季
君瑶牙尖利齿对她说夹菜给黎晏书，我不稀罕。,1384950819,狐狸的夏天第一季
韩志鹏对黎晏书说@回来后就休息两三天，过几天去韩氏集团公司去报到上班，君瑶一听到这立马变了脸，翻脸，说人家可是高材生我们和她们根本比不上，她希望晏书不要在韩氏上班，离开韩氏不希望看到黎晏书。,1384950819,狐狸的夏天第一季
对,1384950819,狐狸的夏天第一季
这个告诫我们:别在吃货口中抢食,1384950819,狐狸的夏天第一季
韩君瑶告诉她说除此之外还报贴了很多相亲人物对象网页上到处都是，真是精英中的女才人，夏梦以为君瑶是在夸她就把所有事情都说出来了，黎晏书听了十分生气可是她的母亲却开心的很嘴都笑开了花，晏书一听这句话真想当场说她，可是韩君瑶在又不敢说。@真是命苦阿，一对欢喜冤家从恨到大结局的时候变成亲家。,1384950819,狐狸的夏天第一季
打架真好玩！,1384950819,狐狸的夏天第一季
富千金韩君瑶告诉晏书说你没回来之前夏姨像急疯了一样找人给你找对象给你相亲，后来看不惯晏书就骂她说：“怕你没人缘嫁不出去。”,1384950819,狐狸的夏天第一季
哈哈,1384950819,狐狸的夏天第一季
好有意思！,1384950819,狐狸的夏天第一季
好听的歌曲百听不厌我的最爱重温狐狸的夏天哈哈@王妍之女神我爱你。,1384950819,狐狸的夏天第一季
女主可爱 喜欢 喜欢,1384950819,狐狸的夏天第一季
一点也不像,1384950819,狐狸的夏天第一季
总裁也是不容易，各种酒吧各种找人,1384950819,狐狸的夏天第一季
赵丽颖,1384950819,狐狸的夏天第一季
不长。,1384950819,狐狸的夏天第一季
这是第几集啊，,1384950819,狐狸的夏天第一季
朱丹好溅，真是够了抄别人的作用还那么理直气壮,1384950819,狐狸的夏天第一季
对,1384950819,狐狸的夏天第一季
真迷人 喜欢男主 喜欢他的笑容,1384950819,狐狸的夏天第一季
我他妈也是一样的，两个晚上同宵看，,1384950819,狐狸的夏天第一季
霸道总裁太可爱了,1384950819,狐狸的夏天第一季
没了？,1384950819,狐狸的夏天第一季
女二的脸是正方形的，不考虑整容吗？,1384950819,狐狸的夏天第一季
这是哪集,1384950819,狐狸的夏天第一季
哪里可以看第二季？？？求回复,1384950819,狐狸的夏天第一季
.;;;;;;;;;;;;.koi0jiuj,1384950819,狐狸的夏天第一季
可爱耶！,1384950819,狐狸的夏天第一季
好喜欢姜潮，太帅了，真希望现实中男主女主也是一对,1384950819,狐狸的夏天第一季
呵呵哒,1384950819,狐狸的夏天第一季
只有我觉得谭松韵演技好又很会穿搭衣服吗？,1384950819,狐狸的夏天第一季
好看 要會員就不好了吧太氣人了,1384950819,狐狸的夏天第一季
冷,1384950819,狐狸的夏天第一季
胖胖胖胖胖胖品牌,1384950819,狐狸的夏天第一季
哈哈,1384950819,狐狸的夏天第一季
看过狐狸的夏天只想说一句！真好看。,1384950819,狐狸的夏天第一季
真好奇。他们进别人家都是怎们进去的。去邻居家。还有男二进屋。都不锁门的吗,1384950819,狐狸的夏天第一季
这集好好笑,1384950819,狐狸的夏天第一季
好看么？,1384950819,狐狸的夏天第一季
这跳姿绝了！,1384950819,狐狸的夏天第一季
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,1384950819,狐狸的夏天第一季
还有什么好看的电视剧求推荐,1384950819,狐狸的夏天第一季
呵呵,1384950819,狐狸的夏天第一季
为什么总爱往人脸上泼东西......,1384950819,狐狸的夏天第一季
哈哈哈,1384950819,狐狸的夏天第一季
呵,1384950819,狐狸的夏天第一季
哈哈哈哈哈哈,1384950819,狐狸的夏天第一季
两只手都拿内衣了，消毒只消了一只😂😂😂,1384950819,狐狸的夏天第一季
吓到了,1384950819,狐狸的夏天第一季
笑抽了！！,1384950819,狐狸的夏天第一季
我也有这种感觉，我两天就看完了，根本停不下来,1384950819,狐狸的夏天第一季
帅,1384950819,狐狸的夏天第一季
哈哈,1384950819,狐狸的夏天第一季
因为别人给大家造成了困扰，就要让他困扰，这是对的吗？,1384950819,狐狸的夏天第一季
喜欢谭松韵，这么的可爱,1384950819,狐狸的夏天第一季
打架真好玩！,1384950819,狐狸的夏天第一季
求评论有什么好看的电视！,1384950819,狐狸的夏天第一季
觉得广告长的请点赞,1384950819,狐狸的夏天第一季
赞,1384950819,狐狸的夏天第一季
好有意思！,1384950819,狐狸的夏天第一季
什么时候播出，更新真tm慢,1384950819,狐狸的夏天第一季
一直感觉海莲娜好眼熟 终于想起来了 就是当年那个一起来看流星雨的慕容云朵,1384950819,狐狸的夏天第一季
我只想说这么有钱的人家大门就不知道重新刷一遍漆吗,1384950819,狐狸的夏天第一季
我也觉得女主好恶心又脏,1384950819,狐狸的夏天第一季
小腻歪,1384950819,狐狸的夏天第一季
谭松韵好可爱，娃娃脸的女明星就剩她了，千万别和郑爽一样整成锥子脸。。。,1384950819,狐狸的夏天第一季
女主角身高是多少啊，看着好低啊,1384950819,狐狸的夏天第一季
花间提壶方大厨,1384950819,狐狸的夏天第一季
男主一回头瞬间无奈 这眉毛无敌了,1384950819,狐狸的夏天第一季
韩君瑶和黎晏书pk大战，最后晏书气走了君瑶，君瑶不想和她斗了。,1384950819,狐狸的夏天第一季
好听的歌曲百听不厌我的最爱重温狐狸的夏天哈哈@王妍之女神我爱你。,1384950819,狐狸的夏天第一季
挺好看的、好喜欢女主 第二季那么久,1384950819,狐狸的夏天第一季
同意！！刘昊然！！,1384950819,狐狸的夏天第一季
我想问问男主角的钱放在哪儿呢,1384950819,狐狸的夏天第一季
我想问一下，男主都是谁选的？男一到男N一个都没有好看的，脸整了，身材倒是练练啊？身材好的也没有，整部剧就靠女一一个人撑下来了，不对有一个帅哥就是老了点，就是女二的亲爹，女一的继父很帅哦,1384950819,狐狸的夏天第一季
我突然看到自己的VIP还有三天就过期 我还以为没刷新 我刷新了居然自己显示有VIP我想了好久都不知道我哪来的VIP 我想三天VIP应该是抽奖的 可是我抽了都没有中啊,1384950819,狐狸的夏天第一季
谁的VIP借我一下，我真的超级想看啊，拜托了，搜了一上午都没看到第九集，拜托了，只看完这部剧就还，绝不盗号，拜托了,1384950819,狐狸的夏天第一季
男主很帅啊,1384950819,狐狸的夏天第一季
总裁太可爱了,1384950819,狐狸的夏天第一季
一人不能一张啊，你和对象拍照片就一张啊,1384950819,狐狸的夏天第一季
太可爱了,1384950819,狐狸的夏天第一季
哈哈😄,1384950819,狐狸的夏天第一季
和和,1384950819,狐狸的夏天第一季
好搞笑😂😂,1384950819,狐狸的夏天第一季
可爱,1384950819,狐狸的夏天第一季
哈哈,1384950819,狐狸的夏天第一季
好想吃,1384950819,狐狸的夏天第一季
哈哈，好可爱，演技爆棚,1384950819,狐狸的夏天第一季
哈哈,1384950819,狐狸的夏天第一季
谭松韵电视剧演的实在是太棒了，都看了好几遍^_^,1384950819,狐狸的夏天第一季
松韵棒棒哒,1384950819,狐狸的夏天第一季
質白雲,1384950819,狐狸的夏天第一季
谭松韵电视剧演的实在是太棒了，都看了好几遍^_^,1384950819,狐狸的夏天第一季
亲亲,1384950819,狐狸的夏天第一季
好可爱,1384950819,狐狸的夏天第一季
么么哒,1384950819,狐狸的夏天第一季
萌,1384950819,狐狸的夏天第一季
太逗了！支持姜潮！帅帅！,1384950819,狐狸的夏天第一季
哈哈,1384950819,狐狸的夏天第一季
帅,1384950819,狐狸的夏天第一季
好可爱,1384950819,狐狸的夏天第一季
哈哈哈,1384950819,狐狸的夏天第一季
小狐狸做了嘟嘟嘴,1384950819,狐狸的夏天第一季
演得很自然到位，帅,1384950819,狐狸的夏天第一季
好可爱,1384950819,狐狸的夏天第一季
哈哈,1384950819,狐狸的夏天第一季
可爱,1384950819,狐狸的夏天第一季
哈哈随便一截表情包,1384950819,狐狸的夏天第一季
hhh,1384950819,狐狸的夏天第一季
嗯,1384950819,狐狸的夏天第一季
哈哈,1384950819,狐狸的夏天第一季
哈哈,1384950819,狐狸的夏天第一季
总裁，你这么偷吃真的好吗？,1384950819,狐狸的夏天第一季
哈哈,1384950819,狐狸的夏天第一季
哈哈,1384950819,狐狸的夏天第一季
我看了两遍了，有点花痴，太好看了，喜欢,1384950819,狐狸的夏天第一季
嘻嘻,1384950819,狐狸的夏天第一季
搞笑,1384950819,狐狸的夏天第一季
可爱,1384950819,狐狸的夏天第一季
可爱,1384950819,狐狸的夏天第一季
还差哈哈,1384950819,狐狸的夏天第一季
你眼瞎,1384950819,狐狸的夏天第一季
看风景更新太慢了,1384950819,狐狸的夏天第一季
哈哈哈，可爱,1384950819,狐狸的夏天第一季
呃呃呃,1384950819,狐狸的夏天第一季
我也重看了一遍狐狸的夏天☺,1384950819,狐狸的夏天第一季
好可爱,1384950819,狐狸的夏天第一季
hhh,1384950819,狐狸的夏天第一季
谭松韵电视剧演的实在是太棒了，都看了好几遍^_^,1384950819,狐狸的夏天第一季
