content,playCount,name
从头到尾没看明白。。。。。,13606555,逃不出的情人节
一堆人造恶心脸,13606555,逃不出的情人节
1,13606555,逃不出的情人节
拍的什么东西啊！,13606555,逃不出的情人节
内地不管是电影还是综艺抄袭上瘾啊。。,13606555,逃不出的情人节
给我来个循环我也能泡上想泡的妞,13606555,逃不出的情人节
趁她还在身边，赶紧表白.......,13606555,逃不出的情人节
盗版，抄袭，没品位,13606555,逃不出的情人节
原以为是个没什么营养的喜剧片，点子也不新颖，没想到看到后面还有点小小的感动，过好每一天，共勉！,13606555,逃不出的情人节
这鱼是不是也太假啦,13606555,逃不出的情人节
画面构图视角美，就是剧本不…,13606555,逃不出的情人节
剧本不大行，导演可为，还是很有美的视觉,13606555,逃不出的情人节
前面的剧情非常的狗血，但是后面的的剧情让人有一种体悟人生的意义,13606555,逃不出的情人节
这人物设置的也太狗血了吧，一个律师像个没素质的，没道德的痞子。,13606555,逃不出的情人节
艹。典型抄袭范伟主演（有完没完）,13606555,逃不出的情人节
什么鬼电影。大家别浪费时间了。。。,13606555,逃不出的情人节
很美好,13606555,逃不出的情人节
很美好,13606555,逃不出的情人节
1,13606555,逃不出的情人节
什么鬼电影。大家别浪费时间了。。。,13606555,逃不出的情人节
content,playCount,name
看到一半以为又是老套路，《逆时营救》《有完没完》可是真心感觉不一样，最后也是圆满大结局！最主要是讲的爱情！让人们又相信了一次爱情，相信用心看完的一定会有不一样的感受，虽然套路有些不尽相同，但是情节值得拥有，真心的觉得是匠心制作，值得一看的好电影，导演编剧，有意思，只能说，匠心！！！,13606000,逃不出的情人节
从来不评论。凑巧因为余男点了一下无人区这个电影，看了几分钟然后看这个新出的。台词差不多一样法庭的。还有说律师尾款的。于是感觉这电影。没劲。真心的不想看了。,13606000,逃不出的情人节
很好看，有些说看不懂，差点就信了，幸亏我想到班主任的一句话，靠谁都不照，自个最靠谱，不要盲目去看评论，最多也就是赌上那1个多小时罢，虽说时间是金钱，对我这种学渣来说，只有钱最重要，原谅我的这个思想，没办法，这是物质的一种保障，虽说，钱不是万能的，但它除了不能拿来换命，也没其他不好的吧,13606000,逃不出的情人节
他告诉我们，人活在每一天都需要有他的意义，也许曾经你所讨厌的人，并没有那么讨厌，也许他们会很啰嗦，也许他们会让你觉得没面子或者难为情，但真正爱自己的还是他们。 感情可能是 一成不变的鲨鱼， 而小白兔的单纯善良往往是我们需要追求的。 这就是我们的意义。,13606000,逃不出的情人节
太搞笑了，律师问当事人要律师费还要这样以敲诈勒索的形式，每次都有委托协议的啊，如果当事人不付钱可以起诉当事人，何况还是老板，可以去查封他工厂，让他上黑名单。为什么要用这样非法手段🤔,13606000,逃不出的情人节
"你见或者不见我
我就在哪里
不悲不喜
你念或者不念我
情就在哪里
不远不近
你爱或者不爱我
爱就在哪里
不增不减
你跟或者不跟我
我的手就在你的手心里
不舍不弃
默然相爱
寂静欢喜",13606000,逃不出的情人节
那些说盗版的装什么博览群书啊！男主演的很不错啊！比当今那些小鲜肉演的好多了！长得不算帅，但是很阳光，演的挺自然的！,13606000,逃不出的情人节
第一眼把封面看成baby的除了我还有么？,13606000,逃不出的情人节
其实蛮好看，每一天都有一个新故事，诞生一个新的世界。也许他没撑过12点，但另一个故事的人已经过了，就像最后他撑过去了，但还有另一个故事在继续，继续努力着。其实这个电影是没有结局的😂,13606000,逃不出的情人节
活在每一天，最真实的每一天，做真实的自己。没有懂与不懂，只有用心与不用心。希望我们每一个人能认真对待每一天，过自己想过的生活，做最真实的自己。没有你做不到的，只有你想不到的。,13606000,逃不出的情人节
每一次重复一件事都会有新的变化 每天重复认识自己 都会让自己更加了解自己 每天都过好每一天才会更加美好？,13606000,逃不出的情人节
这种无限复活重复活一天的电影要是在明日边缘之前，也是个经典的系列，可惜了是模仿人家的点子。还不错的电影，最起码故事是自己写的，不像是抄袭的，希望国产片以后能有自己的点子，用自己的脑子创造，模仿和抄袭都是失败者。,13606000,逃不出的情人节
看了简介，那么像范伟演的那个叫啥剧情也是他儿子生日那天不断循环,13606000,逃不出的情人节
在这个电影里面，让我学会了，珍惜每一天,13606000,逃不出的情人节
日复一日，熬过去了就是新的开始，没熬过去今天今天没明天,13606000,逃不出的情人节
因为不是大腕演的所以没观众吧，我觉得演的好，故事好，演员也好。如果每个在生活中都能在迷失的时候或是犯错的时候都能重复同一天，直到明白一切找回自己就好了，那么世界就不再会有坏人了。,13606000,逃不出的情人节
我的重点是多重宇宙，原来的世界并不会消失，所有发生了的事情都会继续下去。时间既不是倒流，也不是众多可能世界线中的唯一世界。其实挺悲哀的，不知道死了多少世界的路人和男主。,13606000,逃不出的情人节
强奸就是公诉案件，被告律师还可以这样巴拉巴拉，法官早就骂人了。真是拍的脱离现实,13606000,逃不出的情人节
看完了这部电影，我面色凝重，深深地低下头，默默的关掉手机，起身打开冰箱，拿出一瓶伊利QQ星，紧紧的握在手里，慢慢的走到窗前，窗外的景色有些暗淡，就如我的心情一样，沉重，很沉重……外面灰蒙蒙的天空下起了小雨，为什么会这样，视线模糊了，不知道是我流泪了还是雨太大，可能都有吧……我的心情更加忧郁了，我再也无法忍受内心的感情，我打开窗子，对着窗外仰天长啸：这他妈演的啥,13606000,逃不出的情人节
逃不出的情人节😀✌,13606000,逃不出的情人节
其实换一种角度看问题还是很不错的。其实我们的人生有多少可以从来呢？,13606000,逃不出的情人节
每一天不管是怎么过，只有自己觉得有意义，不后悔就行啦！,13606000,逃不出的情人节
有时候，看看电影就想去看动漫了，因为动漫里的主角要身材有身材，颜值有颜值，能打，能抗，每个镜头都不偷懒。不过动漫也有缺点，就是主角没什么演技。,13606000,逃不出的情人节
妈呀，刚开始看的还行！看到最后好无聊！我居然看完了！他瞎演我瞎看！,13606000,逃不出的情人节
烂片中的烂片，抄袭不说了，开庭的那一段，导演是从来没去法庭见识过吗？还有什么时候强奸未遂可以变成私人起诉了，还律师，真你妈无敌了，浪费老子流量,13606000,逃不出的情人节
无限循环有什么关系呢。世界这么大。事情这么多发生。还不够玩吗！无限流又没关系。。。好吧，至少我觉得在我可以预知的情节内不会厌。哈哈哈哈,13606000,逃不出的情人节
刚开始感觉没什么意思，好多情节都是套用的，到看完感觉还可以,13606000,逃不出的情人节
就算说模仿了 但是还是挺不错的 不是一般的人能模仿的来 haha~,13606000,逃不出的情人节
我就看到男主角看完彗星第二天醒来，就果断关掉了视频，因为他被打的脸，一觉醒来比我我的脸都干净。导演你是逗我玩吗？,13606000,逃不出的情人节
很特别的电影，真心不错，很有意义，要懂得珍惜！,13606000,逃不出的情人节
一晚上伤就好了,13606000,逃不出的情人节
美女多就是带劲，看着看着就看完了。跟《没完没了》差不多，不过《没完没了》我没看完。 说真的从古至今英雄都是难过美人关啊！,13606000,逃不出的情人节
