content,playCount,name
很期待第三部，苏宝银和小王爷再相聚,16721000,野蛮囧妃2：迷雾重重
我只想知道片尾曲是什么歌[大哭][大哭][大哭],16721000,野蛮囧妃2：迷雾重重
看了电影一下子感觉有部苹果手机很拽的,16721000,野蛮囧妃2：迷雾重重
电影也玩穿越啊！看起来挺好看的！这里面的苏奶奶挺搞笑的！,16721000,野蛮囧妃2：迷雾重重
电影就是看看，不要老是盯着人家的穿帮，毕竟穿着穿着都已经习惯了😜😜,16721000,野蛮囧妃2：迷雾重重
我去，我竟然迷糊看完了，特佩服自己^o^,16721000,野蛮囧妃2：迷雾重重
要不就拍成电视剧~这一部一部吊人胃口,16721000,野蛮囧妃2：迷雾重重
我也是服了，这种剧简直就是浪费资源，开始点进来挺期待，建议不行找部小说拍！闪人,16721000,野蛮囧妃2：迷雾重重
挺有意思的剧情，各种反转。我觉得挺好的，逗一个乐，哈哈哈哈。,16721000,野蛮囧妃2：迷雾重重
这结局是还有第三部的意思吗,16721000,野蛮囧妃2：迷雾重重
看过之后才有发言权,16721000,野蛮囧妃2：迷雾重重
结尾歌名：我是怎么了,16721000,野蛮囧妃2：迷雾重重
嗯，我是为了美娥女神来的。呵呵哒,16721000,野蛮囧妃2：迷雾重重
17分45秒穿帮镜头那把剑 😂😂😂😂,16721000,野蛮囧妃2：迷雾重重
哎呀妈呀 啥玩儿意,16721000,野蛮囧妃2：迷雾重重
觉得女主还是现代装比较好看点,16721000,野蛮囧妃2：迷雾重重
什么鬼啊，片尾名也不说,16721000,野蛮囧妃2：迷雾重重
張嘉佑,16721000,野蛮囧妃2：迷雾重重
拍的什么卵东西,16721000,野蛮囧妃2：迷雾重重
看完了这部电影，我面色凝重，深深地低下头，默默的关掉手机，紧紧的握在手里，慢慢的走到窗前，窗外的景色有些暗淡，就如我的心情一样，沉重，很沉重……我的心情忧郁了，我再也无法忍受内心的感情，我打开窗子，对着窗外仰天长啸：这他妈演的啥,16721000,野蛮囧妃2：迷雾重重
本来就是搞笑，不用太认真了,16721000,野蛮囧妃2：迷雾重重
这是什么鬼啊……,16721000,野蛮囧妃2：迷雾重重
这台词都尼玛网络用语,16721000,野蛮囧妃2：迷雾重重
电影也玩穿越啊！看起来挺好看的！这里面的苏奶奶挺搞笑的！,16721000,野蛮囧妃2：迷雾重重
看着还挺有意思的，就是喜欢喜剧,16721000,野蛮囧妃2：迷雾重重
看不懂，不好看，什么电视啊,16721000,野蛮囧妃2：迷雾重重
我操，这个电影太牛逼了，也太tmd扯了，不过片尾曲还行。,16721000,野蛮囧妃2：迷雾重重
这是拍给异次元的人看的，我一正常人表示看得想吐,16721000,野蛮囧妃2：迷雾重重
谁知道这片尾曲的名字吗，好喜欢听,16721000,野蛮囧妃2：迷雾重重
宝银最后那句 忘了谁都不能忘了我 感动到了,16721000,野蛮囧妃2：迷雾重重
很期待第三部，苏宝银和小王爷再相聚,16721000,野蛮囧妃2：迷雾重重
