content,name
云巅之上2里面的好多秘密 很精彩,云巅之上2
云巅之上一二季资源全,云巅之上2
【云巅之上】2里面揭示了好多秘密和矛盾,云巅之上2
看完之后太想说几句了、不喜勿喷,云巅之上2
论演技、我很喜欢唐菲、左左、很有个性。季晴啊、简兮啊、什么嫣啊、太狗血的剧情,云巅之上2
我感觉简兮好喜欢大喊大叫，发脾气，公主病好重,云巅之上2
每次都轻易得到角色 、最后都因为得瑟失去、演的够清高、这角色真是烦人、狗血的剧本,云巅之上2
晓哥帅爆了，又男人又温柔，真想不到他竟是环宇集团的大公子，还以为他那么抠真的是因为家里穷还有展眉和简溪的误会，终于在戏中解开了，她们合演了一部玫瑰人生,云巅之上2
真的很精彩，我是买的剧，死忠粉剧迷，免费送给和我一样喜欢的宝宝们,云巅之上2
加微信wdy1054963712免费分享,云巅之上2
加楼主微信号pjh20011224,云巅之上2
晓哥帅爆了，又男人又温柔，真想不到他竟是环宇集团的大公子，还有展眉和简溪的误会，终于在戏中解开了，她们合演了一部玫瑰人生,云巅之上2
真的很精彩，我是买的剧，死忠粉剧迷，免费送给和我一样喜欢的宝宝们，喜欢的扣1,云巅之上2
有没有云巅2的资源啊,云巅之上2
