content,name
使徒行者2结局不完整？乐少锋离奇复活！魏德信居然就这样死了,使徒行者2
使徒行者2第二集里杀欢喜那些人居然用刀不用枪，看到这我不想再看,使徒行者2
使徒行者2里面，时不时有警察提起的一哥是什么身份啊？,使徒行者2
求使徒行者2第十集21分钟赌桌快结局时的背景纯音乐,使徒行者2
使徒行者2听下去很伤感的那首背景音乐叫什么？,使徒行者2
"《使徒行者2》要开拍,主角居然换成了他们!",使徒行者2
#使徒行者2# 不管宣萱演的古装戏还是现代的都喜欢看，特别是,使徒行者2
使徒行者2里面，大家觉得谁演得最好，谁最差？,使徒行者2
求使徒行者2-14分09秒桥段的背景音乐是什么,使徒行者2
使徒行者2,使徒行者2
求大神给《使徒行者2》插曲安守本份的音译歌词,使徒行者2
使徒行者2得失,使徒行者2
【使徒行者2 】原来施嘉丽怎么漂亮怎么可爱哦！,使徒行者2
如果大陆演员演tvb使徒行者2谁最适合演桌sir,使徒行者2
求使徒行者2第十集21分钟赌桌快结局时的背景纯音乐,使徒行者2
卓sir不做施嘉莉保镖之后，重回警队，许sir说是一哥让他复职的。现在看到西九龙重案组的一个警察被杀了，朱志斌（Ben）和下属说，一哥很紧张。这个一哥到底是谁啊？什么身份？,使徒行者2
而且里面级别是怎么排列的？现在看起来朱志斌比卓sir大，madem张又比朱志斌大。那madem张和许sir谁大？许sir和一哥谁大？,使徒行者2
1哥是警队1把手，最大,使徒行者2
一哥是警务处长，许启发是助理警务处长,使徒行者2
使徒行者2第二集里杀欢喜那些人居然用刀不用枪，看到这我不想再看了，这编剧这不弱智吗？为了剧情故意不用枪用刀?不想看了。,使徒行者2
那些只是底层的小混混，怎么可能都有枪，而且当时陈豪刚刚上位，根本是有点看不起欢喜哥的样子，大概是没有得到重视，所以埋下的祸根,使徒行者2
拿刀冲上去砍拿枪的，都是死士。不是小混混。这剧就不会注意点,使徒行者2
我也是醉了我2里枪械打出去都没火光，看着像玩具枪一样，卓凯的配音也换人了，2总之看着好尴尬。,使徒行者2
昨晚在第一时间把使徒行者2给追完了，但看完结局整个人都不好了！,使徒行者2
