content,name
在新疆的岁月里栊翠庵之妙玉这两天又看了一会小戏骨红楼梦，刘姥,小戏骨红楼梦
这两天又看了一会小戏骨红楼梦，,小戏骨红楼梦
进大观园，本来想要分析刘姥姥的，结果发现自己知识实在匮乏，对刘姥姥这位大人物竟无从下手。后来又看到了,小戏骨红楼梦
，心中一定，就来写她。,小戏骨红楼梦
欲洁何曾洁，云空未必空。,小戏骨红楼梦
可怜金玉质，终陷淖泥中。,小戏骨红楼梦
看来，她最后的结局也是不尽人意。甚至有些怜惜。我看了很多，也想了很多，始终觉得妙玉这样的人物身份绝对不会很简单。,小戏骨红楼梦
中表明的身份是一个庵里的尼姑，因性情孤傲，行为高雅，遂被请到栊翠庵居住。可是我感觉她并非是一个尼姑道人这么简单。这样的破绽在书中表现出很多次。,小戏骨红楼梦
修佛之人都讲究众生皆苦，众生平等。可是在,小戏骨红楼梦
的身上，等级观念还是很强烈的。,小戏骨红楼梦
带着她游玩，路经,小戏骨红楼梦
，自要进入瞧瞧的，妙玉为众人倒茶，姥姥也端起茶杯。妙玉明显心里不爽。后又招呼,小戏骨红楼梦
去喝“体己茶”，被宝玉撞破。接下来的一幕就更加让人不解。妙玉本是出家人，而她却有众多珍贵文玩，用以喝茶储物。那样珍贵的文玩出现在一个年幼尼姑身边实在不应该。而后来仆人收拾东西，成窑的东西妙玉说扔就扔，一点都不可惜。而在那个时候成窑的东西都是比较贵重的。,小戏骨红楼梦
还有一点就是自从,小戏骨红楼梦
，就没有想过要离开。人在屋檐下，不得不低头。不管怎么样都会觉得不舒服。可是妙玉一住就是多年，甚至贾府落败，她也没有离开。后来才被人掳走。,小戏骨红楼梦
细想之下，这样的线索很值得推敲。她的真实身份地位估计很高，至少和宁荣两府在同一水平线。很久之前看了一篇文章，也是有讲,小戏骨红楼梦
的部分。据书中所述，妙玉是一位大人物的遗女。那位大人物落马，家族诛连，只逃出来一人，就是妙玉。那位大人物有多大？据推测极有可能是王爷亲王一类。喝茶时，有这样一段公案：仍将前番自己常日吃茶的那只,小戏骨红楼梦
"来斟与宝玉．宝玉笑道：""常言`世法平等'，他两个就用那样古玩奇珍，我就是个俗器了。""妙玉道：""这是俗器？ 不是我说狂话，只怕你家里未必找的出这么一个俗器来呢。”虽不能肯定，但也能看出一点，妙玉所用之物，品阶在贾府之上。当然这也是一种推测，但并非空穴来风，无中生有。",小戏骨红楼梦
我看的时候没想这么多，光盯着黛玉了,小戏骨红楼梦
