content,name
开封奇谈【影视滋源】加（威❤：807552312）,开封奇谈
开封奇谈高清全集  想看进来拿,开封奇谈
【开封奇谈这个包公不太行】种子资源,开封奇谈
要的进来拿走，开封奇谈,开封奇谈
[免费]开封奇谈，拿走留言,开封奇谈
开封奇谈，直接看给个6,开封奇谈
为什么会觉得开封奇谈好看？,开封奇谈
开封奇谈动漫,开封奇谈
开封奇谈,开封奇谈
谁有开封奇谈的动漫链接呀？可以发给我吗，要高清有字，最好是免,开封奇谈
开封奇谈,开封奇谈
【鼠猫同人】开封奇谈——这个UP非常行,开封奇谈
【提问】开封奇谈番外里有讲白锦堂是怎么死的吗,开封奇谈
"求开封奇谈动画番外篇，有的话加我百度云,风奈何heaven，",开封奇谈
开封奇谈高清全集 想看进来拿,开封奇谈
开封奇谈高清全集  想看进来拿,开封奇谈
【群宣】新建的开封奇谈动画日常语c群！皮还有很多！欢迎加入开,开封奇谈
看《开封奇谈》迷上两对cp你们有吗,开封奇谈
求资源谁有开封奇谈的全集，求求求,开封奇谈
求问，开封奇谈会有第二季吗？,开封奇谈
出一套开封奇谈的手办,开封奇谈
如题，网上找百度云看的，只有13分钟，并没有讲玉堂他哥是怎么死的……,开封奇谈
番外也没说锦堂哥哥怎么死的，只是讲了哥哥组的相遇相识相知~,开封奇谈
白锦堂是被乱箭射死的，突然想到原著五爷也是这么死的……心痛……,开封奇谈
一楼祭度娘，防吞,开封奇谈
炸毛鼠X面瘫呆萌猫,开封奇谈
攻音游戏UP鼠X时攻时受唱见猫,开封奇谈
这个包公不太行吧，鼠猫吧以及软件汤圆创作同步更新,开封奇谈
没问题的话，下面正文？【天知道我的帖子被吞了多少次……】,开封奇谈
〖Play.1〗失踪人口回归系列,开封奇谈
今天展昭也只想做一个单纯的UP,开封奇谈
展昭因为工作的事已经很久没有投稿了。,开封奇谈
在某一天展昭点开了久违的B站首页，熟练的打开了音乐分区，一眼便看到了新发出的古风歌曲，便暗搓搓的点开了。,开封奇谈
展昭是可以说是B站知名的唱见了，不仅仅是因为唱功好，还有他那个时常犯蠢的性格。明明正经起来声音攻到不行，可是一旦呆萌起来……,开封奇谈
可爱，想曰啊啊啊啊！,开封奇谈
咳咳咳，言归正传。,开封奇谈
像吃了炫迈一般，展昭今天十分努力，才不是因为公孙先生说在近期内录完五首歌就请他吃全鱼宴呢口亨！,开封奇谈
经过一段时间的艰苦奋斗，展昭终于完成了曲子的翻唱。,开封奇谈
随后，展昭便将作品投稿到了b站上，点进了游戏区。,开封奇谈
其实原因不是看UP们的实况，他只是想凑个热闹，说不定还能看到一两个关于鱼的游戏……,开封奇谈
由于多年的习惯，展昭还是先去看了排行榜。,开封奇谈
！真不知道什么时候出第二季啊！,开封奇谈
第二季第二季第二季,开封奇谈
出第二季可能就是蟹黄包相爱相杀吧,开封奇谈
谁有开封奇谈的动漫链接呀？可以发给我吗，要高清有字，最好是免费的。谢谢大家了,开封奇谈
电视剧，第1-12有，随时更新，看的来。,开封奇谈
Xwddt12345,开封奇谈
开封奇谈动漫番外篇资源谁有求！😭,开封奇谈
我会说是因为搞笑才看的吗,开封奇谈
因为猫鼠……还有大家都好可爱,开封奇谈
话说准备看啦，但是里面是猫鼠还是鼠猫哇，让我有个准备啦,开封奇谈
站猫鼠猫鼠猫鼠！！！,开封奇谈
哎，我是从9475来的，不管白老鼠表现的多么傲娇受都必须是鼠猫，永远都站不了猫鼠😂😂,开封奇谈
9475来的，站鼠猫！,开封奇谈
因为从小就喜欢开封府的好多故事和人物   包公  公孙策  展昭  白玉堂，都喜欢。现在出了他们的动漫  虽然是搞笑向的，没关系，颜值高啊，看得开心就行啊,开封奇谈
因为可爱，第二是人物性格拿捏的很好，第三是五爷是我的男神，这里的傲娇性格又非常吸引人。第四是剧情，细节感人，搞笑中带着很美好的意义。全都是真爱啊,开封奇谈
动画免费在线观看,开封奇谈
一开始是因为搞笑，后来是发现搞笑里又有血有泪，又有温情...............已经看完第一季，期待剧场版，,开封奇谈
一开始看到CV有边江大大，然后看了第一季觉得很有意思，就看下去了。非常希望还有第二季。,开封奇谈
耳朵怀孕的配音阵容,开封奇谈
很搞笑啦，每个人物都又萌又有特色，可以腐cp啦，我最喜欢猫鼠cp，因为最喜欢展小猫，白小鼠也是很傲娇萌的。看漫画出了很多人物，变虐了蛮多。,开封奇谈
莫明期待电视剧，都是新人，颜值还不错,开封奇谈
虽然是个搞笑故事但是会穿插很多戳心的虐点……每个人物都很有特色，特别喜欢五爷！！！透出一股侠义之气！打算去看原著，但是已经把动漫形象带入的我是不是有点先入为主……,开封奇谈
一开始是因为鼠猫看的，后来感觉这部剧有毒啊！糖中尽是玻璃渣啊！没办法，已经入坑了啊！,开封奇谈
我好害怕以后会不会有冲霄楼片段,开封奇谈
一开始本来就是想消遣一下，，结果一入坑就回不来了。,开封奇谈
氪金看完第一季动画又追去了有妖气补完漫画,开封奇谈
听了广播剧，然后顺利战猫鼠cpd(ŐдŐ๑),开封奇谈
开封奇谈，直接看给个6，,开封奇谈
不能播放，可以切换频道,开封奇谈
居然有人说看不了，说是假的，楼主被深深的伤到了,开封奇谈
66虽然不太清晰，好歹看完了不是？,开封奇谈
666666666,开封奇谈
，右上角订阅哦，获取最新，麻烦顶贴评论,开封奇谈
楼楼能再发一下吗,开封奇谈
楼主可以在发一下吗,开封奇谈
可以在发一遍吗？大大,开封奇谈
楼主求再发一遍_(:з」∠)_,开封奇谈
楼主求再发一遍_(:з」∠)_,开封奇谈
楼楼求在发一下【卖萌】,开封奇谈
这个吧里一堆骗子,开封奇谈
我给你们发个真的,开封奇谈
楼主，再发一次，呜呜,开封奇谈
因为没了啊23333,开封奇谈
为什么打开不了？,开封奇谈
楼楼~出后面的集数还发种子吗！,开封奇谈
楼主，有人！再发个链接么么达,开封奇谈
开封奇谈高清全集  想看进来拿,开封奇谈
Lalala21z  来拿,开封奇谈
好看啊，看完了，开封奇谈全集进来拿,开封奇谈
开封奇谈 完结,开封奇谈
开封奇谈进来拿！！全集,开封奇谈
开封奇谈,开封奇谈
开封奇谈全集！有要看的嘛？,开封奇谈
我想问一下各位大大，在网剧开封奇谈里有一幕是包大人他们一起吃,开封奇谈
开封奇谈网剧向演绎群,开封奇谈
【群宣】开封奇谈,开封奇谈
#开封奇谈#自截（含猫鼠情头福,开封奇谈
【皓月千里】恭喜网剧《开封奇谈》收视率成功破亿，请大家继续关,开封奇谈
开封奇谈,开封奇谈
最近被开封奇谈网剧迷住了，于是就开了个语c群，本人也是从动漫,开封奇谈
求开封奇谈13-16集资源,开封奇谈
【宝宝们看过来】开封奇谈，同步整理了，自己来看,开封奇谈
有没有开封奇谈的小说啊。求开封奇谈的小说呀？,开封奇谈
内有编号鉴定书，全新仅拆外壳,开封奇谈
求问，开封奇谈会有第二季吗？,开封奇谈
谁有开封奇谈的全集，求求求,开封奇谈
怎么可能有全集的资源,开封奇谈
今晚有更新喔╮(￣▽￣)╭要的就说,开封奇谈
那个链接里第八集和第九集重复，没有十六集，是我个人网盘出了问题吗,开封奇谈
楼楼，求17到20集,开封奇谈
全集百度云，要的私,开封奇谈
看《开封奇谈》迷上两对cp,开封奇谈
一开始只是为了易柏辰才追的这部剧，没想到这部剧里隐藏着两对cp,开封奇谈
真的越看越喜欢啊,开封奇谈
我是因为符龙飞才看的剧,开封奇谈
超喜欢猫鼠cp，看剧后又多了萌萌的死包子×臭螃蟹,开封奇谈
同意ヾ ^_^♪,开封奇谈
我想说，这都一对对的，公孙先生咋办啊😄,开封奇谈
绝对呀 这两对简直迷晕了 这几集胖鸡出现得好少 最后一出来简直尖叫了！ 白老鼠和展小猫越来越有感觉了,开封奇谈
自从看了开封奇谈我第一次腐了，挺猫鼠党,开封奇谈
，这么好看，这是我第一次腐也会是唯一一次,开封奇谈
蟹黄包为什么辣么可爱啊啊啊啊啊,开封奇谈
可惜前面有多甜，后面就有多虐啊，这部结尾好像蟹黄包要决裂了,开封奇谈
看了结局的过来告诉你，没有承受力的悠着点儿……,开封奇谈
千万不要看24  25集，千万千万,开封奇谈
看着心疼啊结局，承受力差的还是别看了。。,开封奇谈
大结局，蟹黄包虐出血，真的出血啊,开封奇谈
螃黄包。老子纵横十几年，第一次站CP。哎，希望第二季不虐。,开封奇谈
虽然也挺喜欢螃蟹的，蟹黄包这对CP也不错。但我还是站定鼠猫，包策,开封奇谈
【群宣】新建的开封奇谈动画日常语c群！皮还有很多！欢迎加入开封奇谈动画日常语c，群号码：709081500,开封奇谈
注意⚠️！是动画哦！和网剧及后期剧情无关！,开封奇谈
详细规则见群公告！,开封奇谈
我...问昂...语c磨皮...可不可怕😂,开封奇谈
开封奇谈高清全集  想看进来拿,开封奇谈
Lalala21z 来拿,开封奇谈
开封奇谈高清全集 想看进来拿,开封奇谈
xuyuan-99ILY,开封奇谈
2192649711@qq.com        楼主拜托了【撒娇】,开封奇谈
谢谢楼楼~ 爱你❤,开封奇谈
谢谢楼楼~ 爱你❤,开封奇谈
"求开封奇谈动画番外篇，有的话加我百度云,风奈何heaven，",开封奇谈
来者在下感激不尽。。。,开封奇谈
哈哈，开心，终于找到了,开封奇谈
谁需要的，加我百度云。。。,开封奇谈
求同求，已经加百度云,开封奇谈
楼楼！我我我求番外,开封奇谈
同求，已加百度云(｡･ω･｡)ﾉ♡,开封奇谈
信息已看到，或许回复太慢，望见谅,开封奇谈
楼主，加上你了，看到了吗？求资源,开封奇谈
同求啊 楼主 可以给我发一份么 现在去加你好友,开封奇谈
楼主，已加好友，同求啊！谢谢啦,开封奇谈
楼主还有吗，可以发我一分吗,开封奇谈
想知道这是开封奇谈哪一集的，急！！,开封奇谈
看完开封奇谈，不如来谈谈你最喜欢哪个,开封奇谈
群号码:680200490 欢迎各位同好加入！开封奇谈网剧语,开封奇谈
真乱，哪有开封奇谈全集，只出了12集，关注了也不给全集,开封奇谈
开封奇谈更新时间？,开封奇谈
开封奇谈！包公太萌啦！展昭好帅#(太开心),开封奇谈
开封奇谈更新了 宝宝们 速度来娶,开封奇谈
#开封奇谈#  最新剧集哦,开封奇谈
符龙飞要演《开封奇谈》的庞籍！关系户强大，还是杨幂表弟？,开封奇谈
开封奇谈今日更新。。。,开封奇谈
开封奇谈漫画棒棒哒~萌萌哒包大人,开封奇谈
【开封奇谈，完整版在这里可以看了】,开封奇谈
[资源]开封奇谈 更新,开封奇谈
《开封奇谈》漫画单行本,开封奇谈
刚发现的。不需任何费·！看佺集《开封奇谈》高清资源,开封奇谈
#开封奇谈#最新更新哈走过路过不要错过哟,开封奇谈
【精品】开封奇谈网剧导演孙恺凯的访谈实录！,开封奇谈
有没有开封奇谈的小说啊。求开封奇谈的小说呀？,开封奇谈
卖萌搞笑会变身的,开封奇谈
求开封奇谈13-16集资源,开封奇谈
最近被开封奇谈网剧迷住了，于是就开了个语c群，本人也是从动漫过来的，不管是原著党还是网剧党，来了就好好玩，以下来自不负责任的群主标签：,开封奇谈
**精分包大人，严肃管家公孙先生，呆萌爱吃鱼展护卫，潇洒帅气,开封奇谈
庞公子。鼠猫猫鼠，cp,开封奇谈
貌似偏向蟹黄包……公孙先生我对不起你/小手绢飞啊飞,开封奇谈
群号498710265,开封奇谈
给自己顶了。叹气,开封奇谈
还缺人吗我也想进，不过我是新人，之前没玩过语c,开封奇谈
楼主缺人吗？我主皮都是男皮来着,开封奇谈
给小白鼠顶一波x,开封奇谈
刚来入坑，新人报道！今天突然就被安利了这个网剧。果然食髓知味，很有趣，尤其是小哥哥的颜值都挺在线的！,开封奇谈
真的，这剧每个人都太可爱了！！！,开封奇谈
哈哈哈，我喜欢我们的包大人，庞大人，公孙先生，展护卫和锦毛鼠,开封奇谈
【皓月千里】恭喜网剧《开封奇谈》收视率成功破亿，请大家继续关注我们的锦毛鼠白玉堂,开封奇谈
，一共6个单元，会有一个单元专门讲白五爷的身世，大家一起期待吧,开封奇谈
专门讲白五爷身世的那段好像明天VIP就可以看了，期待,开封奇谈
不是最后一个讲的吗？,开封奇谈
一楼那些不是楼主你发的图吗？为什么保存不了？我想要这图，楼主可以发给我吗？,开封奇谈
丹妮你还在这里啊,开封奇谈
已经3亿了，希望早点破5亿，毕竟真是个好看的电视剧！,开封奇谈
五億和500他估計一個都破不了,开封奇谈
自截（含猫鼠情头福利）,开封奇谈
抓被子的猫猫好萌,开封奇谈
最近有没有被网剧开封奇谈圈粉？有没有觉得开封奇谈一家子都特别欢乐？既然如此，想不想也加入一个特别欢乐的群？来一起体会KFboys的日常？感受这部网剧带给我们的欢乐与感动，现在，让我们一起唱起来！…………风雪在彻骨，天尺寒有尽处………吼吼吼，有谁生来是大人物！！！！！如果要来，请加审核群，只需回答一个简单小问题，就可以进来啦，问题就是kfboys是哪几位，看过的应该都不陌生昂：群号码：558608812，请写一段一二百字的自戏，双p过审哦，网剧开封奇谈，等你一起来欢欢乐乐的体会语c带给你的萌点吧。群内禁黄豆，禁刷图，禁,开封奇谈
，禁**，包大人说了，大家都要乖乖哒，而且来了以后，可以免费看公孙先生飞算盘哈哈哈,开封奇谈
这部网剧是看到后面几集就会发现越来越有意思的那种,开封奇谈
群戏，展昭＃白玉堂,开封奇谈
展昭 卷启【鼠猫初遇】,开封奇谈
【巨阙束于身后，红衣似火，更突其温润，骤见一白衣身影闪上擂台，眉目疏朗间，更掩武林侠义，实是不似招亲中人，开口问道】,开封奇谈
【擂台下倒彩一片，俄而百千人呼，作势使人安定下来，方又道】,开封奇谈
这位仁兄，展某今日在此比武招亲，不知兄台何事？,开封奇谈
【好意提点，却得其所恶，心下难免不悦，再次安定台下人群，那人却口出秽语，心下暗自白了一眼，那人却是因御猫这名号前来邀战而来，台下诸位无不变色离席。】,开封奇谈
兄台，这御猫一称乃陛下所赐，展某也没有办法……好吧，但这次展某并非以官府，而是江湖人的身份和兄台一决高下。,开封奇谈
【其未听人言，摆起架势，见招眼熟之至，脑中思索须臾，开口问道。】,开封奇谈
你与陷空岛五义是何种干系？,开封奇谈
白玉堂【鼠猫初遇】,开封奇谈
【闻及御猫展昭在开封摆擂台公然比武，心里不由大喜，正好可以借此机会，好好教训下那只投靠官场的臭猫，便出了襄阳王府，一路奔至擂场后站定，便见到擂台下众人和那猫一脸诧异之色的看着自己，心下念到】这怎么回事，不是比武吗，都都什么神情,开封奇谈
【抬头看向擂场侧那四个大字，大惊，面色不由微红，心里暗骂襄阳王府那一群败类，打探个消息都不中用，这可真是糗大了，三十六计走为上计，便转身欲走之际，听闻一温润嗓音喊到'大姐'，心中恼怒更甚，转身气到】你眼瞎呀，我男的,开封奇谈
【瞪人一眼，果然是只笨猫，不教训他，难消五爷我心头之恨，怎的让台下的人不误会呢…心念一转，有了】臭猫！小爷我可是喜欢有傲人胸部的女性,开封奇谈
【话音还未落地，便听台下一片嘈杂不屑之声，怒瞪台下众人，见人群稍稍安静后转头没好气道】臭猫，你这个投靠官场的江湖败类，居然还敢称自己是御猫，小爷我今日便要替江湖中人教训教训你，由不得你不应战,开封奇谈
【言罢便左腿向前一步，内力贯于右手成爪状】展昭，出招吧！,开封奇谈
展昭 【鼠猫初遇】,开封奇谈
