content,name
【极品王爷】BUG反馈贴,极品王爷
【极品王爷双十一限时活动】：说说你与极品王爷的不解之缘,极品王爷
【极品王爷】贴吧帮会故事&amp;游戏故事获奖名单,极品王爷
"极品王爷25区      海外帮     在一个偶然的机会,",极品王爷
【极品王爷】游戏故事抄袭反馈,极品王爷
极品王爷25区      海外帮,极品王爷
奖励将以邮件的形式发放，请仔细核对【编号】！！！！是否准确。请仔细核对【编号】！！！！是否准确。请仔细核对【编号】！！！！是否准确！！,极品王爷
11月10日——11月12日,极品王爷
参与方式：想要参与的玩家可以在下方回帖。字数在150以上，配图最佳。,极品王爷
正文格式如下——,极品王爷
1，【区服+帮会名称+自拟标题】,极品王爷
2.，故事内容  （配图最佳）,极品王爷
3， 文末留下【区服+编号+角色名称】,极品王爷
正文格式如下——,极品王爷
1，【区服+自拟标题】,极品王爷
2，故事内容  （配图最佳）,极品王爷
3，文末留下【区服+编号+角色名称】,极品王爷
【帮会故事】分享贵帮派中的一些有趣的事情或者你和帮内某位好基友之间在,极品王爷
中的故事。可以兄弟情，可以,极品王爷
故事】分享你和极品王爷游戏的一些不解之缘，可以兄弟情，可以,极品王爷
活动奖励：488元宝,极品王爷
*10 兵符*10   卷轴礼包*5  家宴食材*3  家宴佐料*3  宴会贺卡*1,极品王爷
活动奖励将在活动结束后的三个工作日内进行发放。,极品王爷
如对活动有什么疑问可以加我们的官方QQ群：极品王爷10群【173083053】 私聊客服小姐姐——王爷小妾&芈月,极品王爷
王爷27区，帮会清凉轩。《我的奥利给帮会成员》可以从图中看到我的帮会成员很活跃，这是一个好的现象，作为一个帮主感到的不是欣慰，太活跃了好嘛！让我这个帮主情何以堪呀，看看，抢了我击杀boss的机会不说，还可以嘲讽你一句：你来晚了，哈哈。很好，其实经常错过一个亿的人是我，为了成员可以多拿点资源，我基本有机会都让他们先上的，不解释，这是一个帮主应该的。唯有此时可以在后台得到一点安慰，但是我很感谢我的成员，感谢我的帮会，他们带给我一个领导者的成就感，谢谢大家，谢谢极品王爷。区服27区，帮会 清凉轩 。个人ID27003129，玩家名称：深攻鲍,极品王爷
26区26006489慕容之玉,极品王爷
故事 一次偶然的机会，经朋友介绍我下载安装了极品王爷这个游戏。大气磅礴的皇宫，美女如云的内宅，古朴典雅的建筑，优美动听的配乐，无不深深地吸引着我。这款游戏越深入了解越是爱不释手，虽说是小游戏体会的却是大世界，是那个我们无法追溯的皇朝时代。实现了我们大多数人儿时的一个梦想，切实的过了一把当王爷的瘾，那是真的爽歪歪。大权在握，后宫佳丽，黄金,极品王爷
，手握重兵，每天还被朝拜，那岂是一个爽字能表达的？值得一提的还有我们的帮派，虽说人数不多，但是精诚合作，集体荣誉感那是没的说。为了帮会建设，有钱的出钱，有力的出力。在现实社会上，这种精神真的是凤毛麟角，太难得了。总之，我大力支持极品王爷这个游戏，希望我们的游戏平台越办越好！26区26006489慕容之玉,极品王爷
一、区服，编号，角色名称,极品王爷
