content,name
《轩辕剑之汉之云》1月10日不删档测试开服公告,轩辕剑之汉之云
《轩辕剑汉之云》BUG问题有奖征集活动,轩辕剑之汉之云
《抉择》主暮云,轩辕剑之汉之云
【轩辕剑之汉之云】文：《一半》all暮云,轩辕剑之汉之云
【轩辕剑之汉之云】紫白同人《君尊，一个喜欢窥屏的大BOSS》,轩辕剑之汉之云
魔神归来【主暮云】,轩辕剑之汉之云
暮之泪（主强梧暮云，副朝暮、紫白）,轩辕剑之汉之云
白真历劫变徐暮云的故事，从暮云身死开始写,轩辕剑之汉之云
轩辕剑，那我肯定是玩刀塔传奇S服,轩辕剑之汉之云
爱你，我愿意付出一切（艾 云）,轩辕剑之汉之云
【原创】半城烟沙——几时还（主暮云）,轩辕剑之汉之云
轩辕剑之三世奇缘,轩辕剑之汉之云
有喜欢暮云兰茵的朋友吗，来冒个泡吧,轩辕剑之汉之云
缘•劫【暮云白真同人文】（原创女主）,轩辕剑之汉之云
【轩辕剑之爱如朝夕】原创女主、暮云,轩辕剑之汉之云
《轩辕剑之汉之云》朝暮同人 《并肩》,轩辕剑之汉之云
最近迷暮云迷的不要不要的，看了很多同人文，小云云打算自己也写,轩辕剑之汉之云
3月23轩辕二测，首测大神带你飞,轩辕剑之汉之云
【汉之云】琉璃梦（可能是长篇也可能是短篇）      还是那,轩辕剑之汉之云
在轩辕剑里你们最心疼谁？！,轩辕剑之汉之云
【汉之云】雪暮倾歌,轩辕剑之汉之云
《铃之忆》暮云同人文，原创女主,轩辕剑之汉之云
3月23轩辕二测，品剑大会即将开启,轩辕剑之汉之云
《倾暮》暮云同人文,轩辕剑之汉之云
三生三世水中月之恰逢明月归,轩辕剑之汉之云
暮云文,轩辕剑之汉之云
暮云同人续写（短篇，也可能中篇）,轩辕剑之汉之云
《轩辕剑之汉之云》月光精灵,轩辕剑之汉之云
暮云，为哥哥如此，值得吗？,轩辕剑之汉之云
昨晚看到，横艾在紫衣的梦境中，看到了紫衣得到轩辕剑之后对磬儿,轩辕剑之汉之云
云烟沐歌暮云倾,轩辕剑之汉之云
失忆（主暮云）,轩辕剑之汉之云
【紫白兄弟文】君尊暮云   不喜勿喷，可提意见,轩辕剑之汉之云
【轩辕剑之汉之云】劫缘,轩辕剑之汉之云
【暮云同人文】暮色渐浓,轩辕剑之汉之云
金庸台刺杀暮云恢复记忆‘，成为白真但法力并未恢复，在得知焉逢,轩辕剑之汉之云
求百度云资源（全集，链接）,轩辕剑之汉之云
你，相信死去的人会回来吗？,轩辕剑之汉之云
山水之间歌声回荡着凉凉的思念，去年他写的书信依旧摆在桌前，睡梦里，有久违的故乡。,轩辕剑之汉之云
我，只想要你回来。,轩辕剑之汉之云
天下安定，浮生未歇，岁月头也不回的奔腾入海。,轩辕剑之汉之云
你是会回来的吧？,轩辕剑之汉之云
一切都会好的，不是吗？,轩辕剑之汉之云
焉逢坐在那棵巨大的桃树下面，身侧一片叶。,轩辕剑之汉之云
“我还是吹不出来那一整首的追昔……”,轩辕剑之汉之云
耶亚希在桃树后面走出来，手里捧着醉心的,轩辕剑之汉之云
焉逢抬头，看着纷落的桃花，和那一轮圆月，“我去了……他就真的回不来了……”,轩辕剑之汉之云
耶亚希再也忍不住，放下酒坛，“你就不去看看吗？！就算你不去，冰块儿也不会回来了！”,轩辕剑之汉之云
“他会回来的。会的。”,轩辕剑之汉之云
焉逢像是自言自语，低下头，眼泪却止不住。,轩辕剑之汉之云
耶亚希跪在焉逢身旁，轻轻抱住他。,轩辕剑之汉之云
忍住眼泪，她望向对面的山岗，明天是暮云的忌日了，：冰块儿……你明天就回来了吧……,轩辕剑之汉之云
暮云，我会找到你的。,轩辕剑之汉之云
想写横艾和朝云的故事，这里和电视剧不一样哦，因为我看简介写横艾失去过记忆，所以我想从这点入手，这个不一样的横艾和朝云（焉逢），一个不一样的故事,轩辕剑之汉之云
和酋魔大战，轩辕帝持轩辕剑打败酋魔，但轩辕剑也被一分为二落入人间,轩辕剑之汉之云
天女青儿座子有四仙子，分别是琴，笛，笙，磬四种乐器所变，分别是琴儿，笛儿，笙儿，磬儿，此次寻找轩辕剑的任务，天女青儿便交给笙儿和磬儿,轩辕剑之汉之云
笙儿和磬儿领命之后，便下往凡间，却不料在途中遇到天火的袭击，笙儿为救磬儿被天火击中，掉落凡间,轩辕剑之汉之云
笙儿是在一个破庙里醒来时，看着陌生的环境，大脑一片空白，什么也想不起来‘这是哪’,轩辕剑之汉之云
“你醒了”一道惊喜的声音想起。,轩辕剑之汉之云
笙儿向着响起声音的方向望去，却看见一个6.7岁的小男孩快步的走到她的身边“你好些了嘛”,轩辕剑之汉之云
“你是谁，你认识我嘛”,轩辕剑之汉之云
“我叫朝云，我是在林子里遇见你的，当时你身上都是伤，我便把你带到了这里，你都不知道你伤的多重，我还怕你死了呢，还好你醒过来了”看着朝云脸上的笑容，笙儿也不自觉的跟着笑了起来,轩辕剑之汉之云
“没事，只是你怎么伤的这么重，我看你的样子应该也就5.6岁，是谁这么狠心，把你伤成这样”,轩辕剑之汉之云
听见朝云的话，笙儿只是一脸疑惑的看着他“我不知道，我不记得了”,轩辕剑之汉之云
“不记得了，你该不会失忆了吧”朝云震惊的开口,轩辕剑之汉之云
“失忆？我不知道”,轩辕剑之汉之云
“那，你还记得自己多大，叫什么名字嘛？”,轩辕剑之汉之云
想了想，但是笙儿却什么都想不起来，只能摇摇头,轩辕剑之汉之云
看着笙儿什么都不知道，朝云失望的坐到了地上“那怎么办啊，你还记得你有什么家人嘛”,轩辕剑之汉之云
笙儿看着朝云摇了摇头,轩辕剑之汉之云
朝云也没想到对方会失忆，只能泄气的唉声叹气，突然朝云像想起了什么，从怀中拿出一块丝帕“这是你的，我看上面写着笙儿，你应该是叫笙儿吧”,轩辕剑之汉之云
“笙儿”笙儿只觉得这个名字很熟悉,轩辕剑之汉之云
“对啊，你一定叫笙儿”朝云看着笙儿，想着对方年龄不大，失踪了之后，也没有听到有人家丢失孩子的消息，恐怕家人也遇害了吧，在这个乱世有孤儿也太正常了“既然你什么都不记得了，那不如你以后跟我一起吧，你放心，有我吃的，我就不会饿到你的”,轩辕剑之汉之云
看着面前年龄不大，却拍着胸脯跟自己保证的人，不知为什么笙儿却觉得格外的安心，笑着点点头“好，那我以后就跟着你”,轩辕剑之汉之云
“那你的家人呢”,轩辕剑之汉之云
听见笙儿提到家人，朝云难过的坐到地方“我娘亲死了，弟弟也不见了，我现在只有自己了”,轩辕剑之汉之云
看见朝云难过的样子，笙儿把自己的手放在朝云的手上“你不要难过了，我以后会陪着你的”,轩辕剑之汉之云
看着笙儿坚定的眼神，朝云慢慢的收敛起自己难过的神情，认真的点点头“笙儿，你放心吧，我一定会好好照顾你的”,轩辕剑之汉之云
“你看着比我小，以后就叫我哥哥吧”,轩辕剑之汉之云
好玩的刀塔传奇，你必玩，小红花刀塔传奇，5星英雄罗，君，样搜,轩辕剑之汉之云
床前明月光，疑是地上霜。,轩辕剑之汉之云
春蚕到死丝方尽，蜡炬成灰泪始干。,轩辕剑之汉之云
十年生死两茫茫。,轩辕剑之汉之云
大漠孤烟直，长河落日圆。,轩辕剑之汉之云
夜来风雨声，花落知多少。,轩辕剑之汉之云
清明时节雨纷纷，路上行人欲断魂。,轩辕剑之汉之云
过年看了一点汉之云，气炸，暮云弟弟也太惨了吧。实在忍不住，想要自己动手写个短文给暮云大佬出气。,轩辕剑之汉之云
本文从暮云身死写起，设定尧汉、骁月为八荒中一荒的凡人国度，暮云是白真飞升上神的劫难，暮云死，白真回归。,轩辕剑之汉之云
之所以从电视剧结尾开始写，是因为暮云和白真各方面太不一样了，中途变成白真怕是要直接灭了飞羽铜雀，所以还是最后变身吧。暮云从小一路惨惨惨，生于乱世，父母双亡，颠沛流离，对他好的人一个个死去，六亲缘薄，他年少成名，本性单纯但性格冷傲，面容虽美但是冷面修罗，唯一的爱人还被自己杀死，可谓是天撒孤星，乱世枭雄，下场惨淡；而白真则是含着钻石汤匙出生的超级富二代官二代，不仅家庭和睦、兄妹友爱、感情顺遂，本人更是四海八荒第一美，开天辟地的第一只凤凰也被收入囊中，性格是洒脱不羁，有人撑腰就敢到处晃荡为祸八荒，整日钓鱼下棋，把酒言欢，斗鸡走狗的人生终极赢家。这两人人生几乎除了容貌都是处处反着来的，让白真历劫成为徐暮云，估计也是老天也嫉妒白真了吧，故意将白真拥有的一切都拿走，给他设置了一个地狱级难度的上神劫。,轩辕剑之汉之云
第一章 朝生暮死,轩辕剑之汉之云
漫天的火光冲天而起，将这一方天地映的通红，炙热的气流带着毁天灭地般的气势摧枯拉朽般袭向酋魔。暮云挣扎着起身看向周身浴火的巫山神女琴儿，心里暗叫一声糟，“这巫山女神怕是要跟酋魔同归于尽，只是不知此番牺牲是否真能制止这酋魔”。不待暮云心思多转几遭，肩头突然被一只大手钳住，被拉扯着迅速向后退去，钢筋铁骨的五个指头抓的骨头生疼，暮云心头火起，红色剑气猛然爆出，直指身后之人。偷袭者似乎没想到暮云的反击来得如此之快，身形一滞，找准机会，暮云扣住后方来人手腕，身形一转，与偷袭者面对面。,轩辕剑之汉之云
“哥？”暮云疑惑地望着偷袭他的焉逢。,轩辕剑之汉之云
“还不快跑，这块地方马上就要被巫山神女的烈焰烧到了”焉逢急吼吼的解释了一句，一把抓起暮云的手，以剑气化龙迅速向远方掠去。,轩辕剑之汉之云
神女的焚天禁术招来的烈焰，凡间之物沾之即化作飞灰，以酋魔为中心，足足笼罩了百余里。冲天的火光里，看不到酋魔的一点身影，也听不到酋魔的一点动静，炽热的焚天之火，熊熊的燃烧了三刻钟，浩浩荡荡的焚天灭世之姿，给在场的所有人都留下了永生永世不可磨灭的印象。这就是神的力量，移山填海，毁天灭地，小小的凡人在神的面前，犹如沧海中的一粟，小的不值一看，弱的不值一提。,轩辕剑之汉之云
兄弟二人并肩而立，望着面前的火光，沉默无言。良久，焉逢打破了沉默“暮云，你看巫山神女的力量如此强大，你我二人联手怕是也难敌十分之一，如若神女胜酋魔败，那自然最好，若还是无法铲除酋魔，那”,轩辕剑之汉之云
“哥，酋魔是一定要铲除的，如果真到了那个时候，你就杀了我，让轩辕剑合一”暮云用一贯冷冰冰的语调讲道。,轩辕剑之汉之云
“暮云，不要说了”焉逢气急，“不会到那一步的，肯定有办法的”,轩辕剑之汉之云
暮云低头看着脚下被火光映红的土地，心里苦笑：若是神女都降不住这酋魔，我等凡人又有什么办法，除了轩辕合一，怎么还可能有其他办法。我,轩辕剑之汉之云
这一生，做了许多错事，害****，害死了,轩辕剑之汉之云
，手中沾了太多人的鲜血，如果我一死，可以挽救苍生性命，可以让哥哥得到幸福，那也算死的其所、无怨无悔了。,轩辕剑之汉之云
暮云心中主意打定，不仅有些悲伤起来，,轩辕剑之汉之云
，对不起，我怕是再也见不到你了，原谅我。,轩辕剑之汉之云
漫天火光渐渐暗下去，所有人的心也都揪了起来，目光紧紧黏在慢慢消退的火焰上。忽然，暗红的火光中，影影绰绰显露出一个黑色的人影，酋魔！所有人的心一下子绝望起来，这样的焚天烈焰都没烧死酋魔，那还能有谁能阻止酋魔？难不成，今天之后，我泱泱中原土地，就尽成魔域。,轩辕剑之汉之云
酋魔的身影越来越清晰，而巫山神女则越发颓败。,轩辕剑之汉之云
“姐姐”，横艾看着被烈焰反噬的琴儿，泪水滚滚而下“姐姐不要，快停下，快停下，磬儿已经去了，姐姐你不能再丢下我了呀，姐姐，姐姐”。,轩辕剑之汉之云
“哈哈哈哈哈，本尊还以为堂堂神女有什么过人的本事，原来不过就是自寻死路。好了，游戏结束了，你们是自己了结还是要等本尊动手”酋魔浮在半空，阴森森的目光扫视着众人。,轩辕剑之汉之云
“酋魔，你害死了磬儿，又杀了琴儿姐姐，我横艾今天要为我的两个姐妹报仇”横艾连失两个姐妹，悲恸之下，心神恍惚，竟是要以身赴死。,轩辕剑之汉之云
焉逢闻言当即出声喝道：“横艾，别做傻事，你不是酋魔的对手”，说着便要提起剑气直奔横艾而去。暮云转头深深看了一眼自己这个永远把战友、把尧汉放在第一位的哥哥，心道：横艾是仙子，她都奈何不得酋魔，你去了又有何用”。虽然心里不支持哥哥的做法，但向来以哥哥的安危为人生第一大事的暮云还是驭着剑气跟了上去。,轩辕剑之汉之云
银色的画戟穿透胸膛，刺目的鲜血仿佛在胸口处开出一朵艳丽的大花，“真的好冷好疼啊”暮云眼前渐渐染上黑影，身子像是泡在寒潭中，越来越冰冷，越来越僵硬，只有胸前的剧烈的疼痛使得他的神志还保持着一丝清明。,轩辕剑之汉之云
暮云努力支撑着沉重的眼皮，面前的人双目通红满脸泪水，嘴巴张张合合的仿佛在朝自己嘶吼些什么，在说些什么呢，已经听不见了呀，是不想他这个弟弟死呢还是怪他自作主张故意撞上尖戟害他杀了自己亲弟弟呢，不管了，哥哥啊，不管你怪我还是恨我，我都已经这么做了，我马上就要死了，马上就能见到爹娘和师父了，马上我就不再是一个人了呢。,轩辕剑之汉之云
暮云的剑气丝丝缕缕的逸散出来，钻入焉逢的体内，每逸散一丝剑气，暮云的身体就透明一分。焉逢疯狂的驱动自己的剑气，想要阻止弟弟的剑气进入自己的身体，可惜两种剑气本为一体，没了暮云的掌控，两股剑气一接触便合二为一，形成真正的轩辕剑气。轩辕剑气入体，便是金戈铁马般的横冲直撞，焉逢的五脏六腑都几乎被这股锐不可当的剑气搅碎，焉逢大口吐着血倒地，身体不受控的痉挛扭曲。随着暮云最后一点残影消失，焉逢早已破碎不堪的躯体轰然爆破，血雨中徒留一柄散发着耀目金光的长剑静静悬浮在半空。,轩辕剑之汉之云
朝生暮死，轩辕剑出。,轩辕剑之汉之云
楼楼加油，已收藏,轩辕剑之汉之云
暮云，副朝暮、紫白）,轩辕剑之汉之云
“你说什么？焉逢居然把白衣带来了？还想让他加入,轩辕剑之汉之云
看着明显强压下火的祝犁问。,轩辕剑之汉之云
焉逢他是不是忘了，忘了商横、朝阳、,轩辕剑之汉之云
是怎么死的？忘了飞校羽的誓言？他怎么能让白衣那个**加入,轩辕剑之汉之云
“焉逢已经去找丞相了！”,轩辕剑之汉之云
祭出伏魔弓向外走去。脑中是,轩辕剑之汉之云
、朝阳、商横惨死的场景。愤怒占据了他的心，以至于他忘了那两个字“快走”…,轩辕剑之汉之云
找到暮云时，那个白发白衣少年正靠在亭柱上静静的睡着。阳光洒在少年身上，给少年蒙上了一层温暖的金光。,轩辕剑之汉之云
暮云的脸很精致，连女人都为之嫉妒，却不显的女气，在尧汉，骁月，苍梧族绝对找不出第二个。嘴唇微微凸起，使暮云看起来很可爱 。军训一个奶猫一样，让人不由的放慢脚步生怕打扰了这幅画面。,轩辕剑之汉之云
少年猛的睁眼，侧空翻躲着,轩辕剑之汉之云
暮云皱了皱眉，他不想对哥哥的战友出手。,轩辕剑之汉之云
“白衣，今天我要为朝阳他们报仇！”,轩辕剑之汉之云
恨死这张脸了。都是因为他朝阳他们才会死。白衣，你该死，你不应该活在这个世上。,轩辕剑之汉之云
先更一点，其他的晚上更。,轩辕剑之汉之云
红色的剑气是一次又一次挡住,轩辕剑之汉之云
焉逢赶来 挡在暮云身前，护住暮云。,轩辕剑之汉之云
