content,name
【醉玲珑】【新】〓〓〓吧规整理+新人导航〓〓〓,醉玲珑
〖醉玲珑〗女主,醉玲珑
【醉玲珑】电视剧，我心目中的女一最佳人选,醉玲珑
【醉玲珑】●§★♀★╠黄金版签到贴╣★♂★§●,醉玲珑
【醉玲珑】电视剧all向分析,醉玲珑
【醉玲珑】大结局啥意思,醉玲珑
【醉玲珑】浅谈我见,醉玲珑
【醉玲珑】盘点四哥最酷的N个瞬间,醉玲珑
【醉玲珑】测测穿越到古代后的名字与身份（女生版°）,醉玲珑
【醉玲珑】细细品味小说版本不同间的韵味,醉玲珑
【醉玲珑】有没有宝宝有番外篇,醉玲珑
【醉玲珑】对《醉玲珑》小小感悟,醉玲珑
【醉玲珑】【福利】《醉玲珑》五周年典藏版TXT,醉玲珑
【醉玲珑】原著里我最爱的男女主有爱片段,醉玲珑
【醉玲珑】高冷禁欲系的徐海乔来啦！,醉玲珑
【醉玲珑】我现在才知道原来实体书是有番外的！！,醉玲珑
【醉玲珑】,醉玲珑
【醉玲珑】混剪—空情,醉玲珑
【醉玲珑】,醉玲珑
【醉玲珑】,醉玲珑
【醉玲珑】坑啊，看了两遍，也不知道凤卿尘最后有没有找到九转玲珑,醉玲珑
《醉玲珑》诗诗新晋称号：怪力小巫女！哈哈哈！,醉玲珑
【醉玲珑】元溟如果可以把纤舞做成人形毒煞，陪在身边,醉玲珑
【醉玲珑】像我这么坚定男主的原著党不多了,醉玲珑
【醉玲珑】这世间最是情深难负——元漓与冥魇,醉玲珑
【醉玲珑】这个电视剧拍的很好看呀，拍的我都想看小说了哈哈,醉玲珑
【醉玲珑】一个官配党看过电视剧45至50集的感慨,醉玲珑
【醉玲珑】这是第几集？,醉玲珑
【醉玲珑】电视剧讨论贴,醉玲珑
【醉玲珑】《醉玲珑》凤鸾飞——最美初恋脸,醉玲珑
【醉玲珑】 求第四集背景音乐,醉玲珑
【醉玲珑】这是真的么？元溟对凤鸾飞还是有感情的？,醉玲珑
【醉玲珑】番外,醉玲珑
【醉玲珑】喜欢凌，而让我不舒服的。。。。,醉玲珑
【醉玲珑】一直都很想比较一下夜天凌和夜天湛这两个人,醉玲珑
【醉玲珑】难道那个时候没有已婚的概念吗？女主结婚之后 男二,醉玲珑
〖醉玲珑〗为什么这么多人喜欢夜天湛！,醉玲珑
[醉玲珑]夜天湛自己葬送了他的爱情！！,醉玲珑
【醉玲珑】《深宫之铿锵玫瑰》不一样的故事，同样的精彩,醉玲珑
【醉玲珑】托君社稷，还君江山,醉玲珑
【醉玲珑】电视剧选角,醉玲珑
[醉玲珑]如果十一当年没死…,醉玲珑
【醉玲珑】影视再版有番外吗？,醉玲珑
【醉玲珑】为澈和倩写的番外，给他们一个机会或许会不一样,醉玲珑
【醉玲珑】蓦然回首——殷采倩,醉玲珑
【醉玲珑】关于莲妃和定水,醉玲珑
【醉玲珑】想问问你们这些原著党，你们是更喜欢夜天凌还是夜天湛？,醉玲珑
【醉玲珑】对男主元凌王的个人看法,醉玲珑
【醉玲珑】湛给的幸福,醉玲珑
【醉玲珑】我爱夜天湛，就算卿尘不嫁他，我也喜欢他。,醉玲珑
【醉玲珑】求和湛王性格相似的男主。,醉玲珑
【醉玲珑】里谁演技最好,醉玲珑
【醉玲珑】武凌零霸气称帝,醉玲珑
【醉玲珑】 此剧看完后感觉有点奇怪。,醉玲珑
【醉玲珑】十二皇子在文中出现过的..名字啊..名字..（进来便知),醉玲珑
【醉玲珑】此生与君共，万世千生，比翼双飞，不思归,醉玲珑
【醉玲珑】谁能把湛王强吻卿尘那一段发给我？,醉玲珑
醉玲珑---自娱改写版（情感篇）（心疼湛王，不止是一点点）,醉玲珑
【醉玲珑】主题曲玲珑吉他改编,醉玲珑
【醉玲珑】肆意改词，不尊重角色，不尊重演员,醉玲珑
【醉玲珑】我心中的醉玲珑演员人选,醉玲珑
【醉玲珑】有个小疑问,醉玲珑
【醉玲珑】吧里有会玩cos的小伙伴吗？,醉玲珑
〖醉玲珑〗怎么凤2小姐都不知道她姐姐纤舞长什么样子的,醉玲珑
【醉玲珑】不明白皇上为什么突然赐婚四爷和卿尘，之前七爷,醉玲珑
【醉玲珑】最后烂尾了吧,醉玲珑
【醉玲珑】求大家心目中的角色人选,醉玲珑
【醉玲珑】作者还真是区别待遇啊,醉玲珑
【醉玲珑】原著党看过来～如题，,醉玲珑
〖醉玲珑〗《醉玲珑》是悲剧结局吗？,醉玲珑
【醉玲珑】求打斗时的配乐是什么？,醉玲珑
【醉玲珑】有人能解释下卿尘凋零四朵花都是谁死了吗？？,醉玲珑
【醉玲珑】可恶，发帖总是被删除,醉玲珑
【醉玲珑】求原著党回答！！,醉玲珑
【醉玲珑】桃殀长老今晚要牺牲了,醉玲珑
【醉玲珑】看到第15集 我完全不知道卿辰穿越回去是要干嘛,醉玲珑
【醉玲珑】让人细思极恐的剧版醉玲珑！,醉玲珑
【醉玲珑】醉玲珑第五十集剧情也,醉玲珑
〖醉玲珑〗最爱夜天溟！！！,醉玲珑
【醉玲珑】女装冥魇好萌,醉玲珑
"关于醉玲珑番外，不存在停播！只是更新能看前6集，第7,8集根本在",醉玲珑
就不能播，要是停播就所有都看不了，怎么会出现停播？那里得到消息，请告知，况且澈王也没说停播啊，她,醉玲珑
上，有点不明白老粗们能正常点吗？,醉玲珑
优酷之前说会员每周更新六集，目前半个个月没更新了，也没说明原因，所以才会有流言蜚语,醉玲珑
凌王找到女巫 告诉她你可以看着我眼睛说可以吗的时候出现的背景音乐 开始是 一滴泪 求知道的告知一下。谢谢,醉玲珑
求醉玲珑第一集玄甲军出来时的背景音乐,醉玲珑
一个僵硬的微笑，转过身，往楼下走去。你浑身脱力地瘫坐下来，半天之后，才缓慢地爬起来，走下二楼……室，,醉玲珑
求54集朵霞出嫁的背景音乐,醉玲珑
醉玲珑电视剧于今晚22点东方卫视首播，喜欢的盆友可以支持一下首播。,醉玲珑
关于剧情相关的一切讨论请移步 剧版醉玲珑 吧，或者本贴讨论。其余帖子与,醉玲珑
无关的一律删除！,醉玲珑
本贴不支持任何方式的黑，黑,醉玲珑
黑剧情黑演员，讨论措辞请严谨，禁止掐架撕逼等等…,醉玲珑
另外一切发资源片源留什么微～信 号码的一律删除并且封禁10天处理。,醉玲珑
谢谢合作，本帖置顶。,醉玲珑
惊喜不惊喜 意外不意外,醉玲珑
刚来的时候7k+粉，现在多了1w+，又是喜又是忧,醉玲珑
我觉得你应该挂话题，置顶一般看不到,醉玲珑
剧情讨论请移步本讨论贴或者剧版醉玲珑吧,醉玲珑
我觉得你应该挂话题，置顶一般看不到我觉得你应该挂话题，置顶一般看不到,醉玲珑
一直在删 你刚才那贴发帖格式错误 晚点也会删除,醉玲珑
剧情讨论请移步本讨论贴或者剧版醉玲珑吧,醉玲珑
作为原著党 不黑小说；,醉玲珑
出于尊重 绝不黑演员；,醉玲珑
但不给黑剧情 怎么让人活...,醉玲珑
看着腾讯上醉玲珑的电视剧链接 最喜欢的那三个字啊 原著看了n+1遍 现在根本不敢点开电视剧看....,醉玲珑
为什么影视公司要拍成这样 深井冰啊！,醉玲珑
节奏很快，希望短一点。,醉玲珑
三生三世拍的不错但是我总觉得节奏太慢，一集讲不了什么,醉玲珑
地把手举了起来。“我……”你看看大家，“我的话……也先留下看看吧。”“你们……唉……”菲尼克斯无奈地,醉玲珑
"""你若对她有一丝一毫动心，我就去爱别人。”凌王与朵霞暧昧以来，我一直在等卿尘霸气的宣言兑现。但我知道等不到的。女性就是这个样子，事发前豪情满满明断果决，真到事发，根本不愿承认自己之前所言境况真的出现，不愿承认那个曾为她付出一切至死不渝深情款款的男人早已对他人动了心。她只一味相信，甚至自欺欺人，自降身价，从对方心中的全部降至一隅。之前对官配付出感情，无奈痛心，甚至流泪。认为编导亲手创造凌王这一完美角色——刚正、心善、负责、勇毅、深情，却在临近完结的倒数第二周亲手将这一形象毁掉，让他对朵霞暧昧，对卿尘不专，挑起朵霞希望又不能负责，辜负卿尘一片痴心，辜负湛王成全，辜负昔邪桃夭将卿尘托付于他，辜负一众官配真爱党付出的感情与眼泪。",醉玲珑
真的不是我们对男主要求太高。只是“摸头”“不要再孤身犯险”“等我回来”这种只对卿尘用过或者只能对卿尘一人用的梗全被用在朵霞身上，实在让人难理解编导用意何在（据说十四夜也参与编剧，不知她对凌王表现是否真的满意），也实在让人伤心。大家辛辛苦苦追剧那么久，这都要结局了，甚至预告中更新的最后一周凌王竟还在和朵霞暧昧不清。那个余韵悠长的归隐结局，倒真让人担心凌王带卿尘归隐后心里会否还不时挂念着朵霞。,醉玲珑
