content,name
鬼吹灯吧注意事项,鬼吹灯之牧野诡事
网文之王评选正在进行中，昨天看到有作者晒了网文之王评委证，很,鬼吹灯之牧野诡事
求鬼吹灯txt全集,鬼吹灯之牧野诡事
京东上这两套鬼吹灯哪个好呢,鬼吹灯之牧野诡事
求鬼吹灯8本txt,鬼吹灯之牧野诡事
鬼吹灯里那些有意思的片段……,鬼吹灯之牧野诡事
《鬼吹灯之怒晴湘西》第一位主角确认！,鬼吹灯之牧野诡事
【科普】对于鬼吹灯原著及天下霸唱,鬼吹灯之牧野诡事
为什么鬼吹灯没盗墓笔记火？？,鬼吹灯之牧野诡事
电影版鬼吹灯云南虫谷,鬼吹灯之牧野诡事
【古玩】我们家做古玩的，我给大家扒一扒那些古玩店的破事。,鬼吹灯之牧野诡事
重庆，3月29日，鬼吹灯，摸金玦,鬼吹灯之牧野诡事
我觉得鬼吹灯关于风水的解释是最让我满意的解释,鬼吹灯之牧野诡事
求漫画版鬼吹灯,鬼吹灯之牧野诡事
【咳咳】论鬼吹灯之人物篇,鬼吹灯之牧野诡事
周建龙为什么不讲鬼吹灯了，感觉没人比他讲的更好了。,鬼吹灯之牧野诡事
【关于《摸金校尉》为何迟迟不更】鬼吹灯作者天下霸唱被告侵权,鬼吹灯之牧野诡事
鬼吹灯小说和有声小说全集,鬼吹灯之牧野诡事
重温鬼吹灯，顺便摸鱼,鬼吹灯之牧野诡事
灵异事件研究群，欢迎大家的加入！！！！！,鬼吹灯之牧野诡事
靳东的下一部鬼吹灯啥时候开拍呀,鬼吹灯之牧野诡事
【求助】求周建龙版鬼吹灯里的背景音乐!!,鬼吹灯之牧野诡事
我心目中鬼吹灯的演员。,鬼吹灯之牧野诡事
灵异事件研究委员会Q群群号68339000欢迎加入,鬼吹灯之牧野诡事
百　　　日　　　N　微,鬼吹灯之牧野诡事
重温鬼吹灯，顺便摸鱼,鬼吹灯之牧野诡事
摸鱼这事，更新不定期，但我已经打算画一套了。不管有没有人看，我自己开心就好23333333,鬼吹灯之牧野诡事
即使没有人看我也会继续更,鬼吹灯之牧野诡事
全凭自己的印象画的，每个人的印象可能都不同，所以这是我原创，为此我还参考了不少文物😂,鬼吹灯之牧野诡事
可以的，大工程啊！,鬼吹灯之牧野诡事
老哥很稳啊，666，期待后续,鬼吹灯之牧野诡事
好久不用马克笔，平涂真的有屎的效果😂,鬼吹灯之牧野诡事
为什么这个画风不一样😂,鬼吹灯之牧野诡事
从这张起我要开始带署名😂，之前一直忘了,鬼吹灯之牧野诡事
还有吗？比电视剧的特效都带感,鬼吹灯之牧野诡事
真的没想到会有这么多人在看(//∇//)亲们要耐得住性子等我画啊😂，小星星或者等我艾特都可以,鬼吹灯之牧野诡事
太赞了 已收藏。楼楼慢慢画,鬼吹灯之牧野诡事
dalao继续发啊,鬼吹灯之牧野诡事
看到有吧友问《摸金校尉之九幽将军》的问题，转载当时的一则新闻。,鬼吹灯之牧野诡事
同一个作者的两本小说，什么原因让当时双方对簿公堂？一方认为是创作自由，另一方说涉及侵权，到底谁是谁非？ 《鬼吹灯》里的人物，作者本人可否想用就用？谁侵犯了谁的权利？,鬼吹灯之牧野诡事
2015年的贺岁档电影，曾经上映了一部影片《寻龙诀》，创下了16.79亿元的高票房，可以说，市场热度非常高。因为在拍这部电影之前，它的原著，也就是网络小说《鬼吹灯》，就非常火。在网上，《鬼吹灯》这部小说拥有众多粉丝，曾经风靡一时。于是，在电影上映的同时，《鬼吹灯》作者又写了一本新书，叫《摸金校尉》，也出版发行了。但是，让人没想到的是，这本书，却惹上了官司。,鬼吹灯之牧野诡事
远古的文明，失落的宝藏，神秘莫测的古墓，一本祖传的秘书残卷，三位当代摸金校尉，一个个离奇诡异的地下世界……这些元素构成了惊悚探险小说《鬼吹灯》的文学基调。《鬼吹灯》系列作品的原作者叫张牧野，常用笔名天下霸唱。《鬼吹灯》里有三个主要人物“胡八一”、“王胖子”、“雪梨杨”，“胡八一”同“雪梨杨”是恋人关系，“王胖子”同“胡八一”是发小，核心讲述的是由三人组成的摸金组为解除魔咒在各地古墓探险、寻宝的故事。,鬼吹灯之牧野诡事
《鬼吹灯》是盗墓类题材网络小说的开山之做，其中有一些独特的表达，令人印象深刻。摸金三人组在进入墓葬的时候要佩戴摸金符。盗墓前要在东南方点上一支蜡烛，如果蜡烛熄灭，就要停止盗墓行为，被称为“灯灭不摸金”。这些盗墓规矩和禁忌，都是《鬼吹灯》系列小说最具特色的独创。,鬼吹灯之牧野诡事
《鬼吹灯》分上下两部，共八本，分别被改编拍成了电影《九层妖塔》和《寻龙诀》，还出版了漫画、动漫，开发出了话剧、游戏等演绎市场，可谓盛极一时。随着《鬼吹灯》作品被越来越多的读者认可，故事中的这些人物也名声大噪。天下霸唱及其作品成为粉丝们追捧的对象，巨大的商机就此打开。,鬼吹灯之牧野诡事
2015年12月1日，借着电影《寻龙诀》上映宣传之机，作者天下霸唱的另一本新书《摸金校尉》出版发行了。这本书延续了《鬼吹灯》里的人物构架，同样讲述的是“胡八一”、“王胖子”、“雪梨杨”摸金三人组古墓探险、寻宝的故事。同样使用了《鬼吹灯》中“灯灭不摸金”、盗墓规矩和禁忌等要素，但是《摸金校尉》故事发生的场景、情节等同《鬼吹灯》又完全不同。因为作者天下霸唱以及原作《鬼吹灯》的名气，这本新小说刚一出版，便备受推崇，销量大增，还被签下了游戏开发和影视改编的版权。,鬼吹灯之牧野诡事
