content,keyword,time
剧里那个年轻帅气斯文痴情的“金牌编剧”该不会是于妈眼中的自己吧。。,云巅之上2,2017-02-27
陈晓演贱人明星实在到位。贱出汁，贱得荡气回肠。开创了一种新的霸总类型【疯狗型】只有他自己才能演好。类反派的正面人设塑造得很成功。这款藏着有毒鳖汤的奇凸的魅力，第一次还是在天空城的羽皇陛下身上才见过.....,云巅之上2,2017-02-26
袁姗姗演技差到想笑还在里面扮演演技超好的天才 真是尴尬。。,云巅之上2,2017-02-27
过时的配音、审美和套路，主创始终活在过去的能力令人佩服！,云巅之上2,2017-02-24
晓哥的颜值又逆天了！！！虽然戏份不多，但是每场都好看！！,云巅之上2,2017-02-27
看了两集，于妈自嘲起来真可怕，剧情虽然还是有俗不可耐的狗血成分，但是把娱乐圈黑出了翔，女主傻白甜，男主坏的流水，男主虽然三观不正，但非常真实，他肯定后期会洗白，剧情上的逻辑没出漏洞，可以凑乎看几眼。,云巅之上2,2017-02-24
这么苏的男主角估计也只有陈晓hold的住，傲娇毒舌还抠门，但是好喜欢啊,云巅之上2,2017-03-10
只有陈晓的人设和演技能看，作为独自在外打拼天天被各色套路不断刷新三观底线以致无数次想要卷铺盖回家找妈妈的职场菜菜，我居然被一场嘴炮打动了,云巅之上2,2017-03-05
俗，演技不咋地，还没气场,云巅之上2,2017-02-23
弱智没有成长的女主，在原地打转没有发展的剧情，匪疑所思缺乏逻辑支撑的展眉，比舞台剧还假的郭晓东的发型和人设，像得了失忆症般突然变好的齐文森，丝毫没看出有什么金牌经纪人本事的无能的安心……,云巅之上2,2017-04-02
对不起，这部剧的台词和陈晓的脸只能用三个字形容：尴尬死！,云巅之上2,2017-03-01
我操 真心难看 配音难听 套路老旧 好想骂人 为什么国产影视剧越来越难看,云巅之上2,2017-02-24
1、还谈什么演技，主演自个儿都不配音。2、袁姗姗用了楚雨荨的声音，又变成一乐观坚强的傻白甜。3、剧情不新鲜，就是娱乐圈那些事。4、于正拍戏选角也是拖家带口的,云巅之上2,2017-02-24
女主被设定为死蠢才能拍吗？我就不信玛丽苏一定要傻白甜才好看啊,云巅之上2,2017-03-03
于正，求你，放了陈晓吧！！,云巅之上2,2017-03-06
刚看时就感觉到《华丽的挑战》的影子，我还以为是自己对于正有偏见，当女主终于穿上小鸡布偶装时我彻底明白，*是改不了吃*的。男主人设基本敦贺莲，人物关系拷贝《玻璃假面》。看一群面瘫演飚演技也是尴尬。第二季男主、啊不、是全员人设崩坏，全剧陷入无脑套路，整段垮掉。最后，简兮X左左高萌。,云巅之上2,2017-03-06
剧情尴尬 已弃,云巅之上2,2017-03-04
天啦噜，真不是我吐槽，这拍的都什么乱七八糟的，剧情瞎写，一点都不合逻辑，造型烂的不想吐槽，所有人都用的玫红色口红，什么鬼啊,云巅之上2,2017-02-27
为了陈晓我也咬牙坚持了，有的情节很烂，但莫名还喜欢这种男女主片场生活的戏，人物个性塑造不好。说实话，剧本比利先生好多了。陈晓可惜了，难道你都不看本子接戏吗！！沈澜看出还是有演技的，唐斐整个人没演出来,云巅之上2,2017-02-25
哈哈哈，我居然看完了，戏中戏还挺有意思，突然觉得陈晓好帅肿么破！,云巅之上2,2017-02-26
"借剧中一句台词 ""以后这种愚弄观众的编剧 一律让他们消失""",云巅之上2,2017-03-17
故事挺韩式，毒舌心善男一+倒霉弱势女一总让人不由想起#最佳爱情#，当然能将各种套路集成后娴熟拼凑还不让人倒胃口也是一种本事，并且陈晓袁姗姗的组合也喜闻乐见，郭晓冬是真的突破形象，一时竟没认出，以上都值得好评。至于配角就是真烂了，无论演技还是外形，蒋梦婕脸上白粉尤其厚的让人心惊胆战。,云巅之上2,2017-03-18
