content,name
【机器人争霸】【进吧必读】机器人争霸吧吧规，违者删帖,机器人争霸
【机器人争霸】本吧专用水贴楼,机器人争霸
【机器人争霸】 #机器人争霸# 启动发布会,机器人争霸
【机器人争霸】@盛一伦正式加入 #机器人争霸#,机器人争霸
【机器人争霸】《机器人争霸》发布主视觉海报,机器人争霸
【机器人争霸】大家好，欢迎入驻机器人争霸吧！,机器人争霸
【机器人争霸】四大站队集结完毕，你为谁打CALL呢,机器人争霸
【机器人争霸】@angelababy 正式加入#机器人争霸#,机器人争霸
【机器人争霸】大黑牛@李晨正式加入#机器人争霸#,机器人争霸
【机器人争霸】@林更新 正式加入#机器人争霸#！,机器人争霸
【机器人争霸】赵老师@演员赵立新 正式加盟#机器人争霸#,机器人争霸
【机器人争霸】爱奇艺超级网综《机器人争霸》,机器人争霸
机器人争霸 （爱奇艺自制的机器人格斗赛事真人秀）,机器人争霸
《机器人争霸》是中国首档以机器人格斗全球联赛为故事主线的剧情式真人秀。,机器人争霸
来自全球各地的36支顶级格斗机器人战队将捉对厮杀，争夺桂冠。,机器人争霸
4位明星大玩家全程与选手并肩作战，感受机械的鬼斧神工，最终操纵专属超级机器人，角逐地表,机器人争霸
投入S+级资源打造的超级网综，,机器人争霸
《机器人争霸》已经和美国《BattleBots》节目方正式达成大中华区独家合作，将与美国、英国的伙伴们一起将《机器人争霸》打造成机器人格斗届的世界杯！[1] 《机器人争霸》不仅仅是一档节目，它将会是一个以机器人为IP的,机器人争霸
整合计划，联动线上节目、线下联赛、衍生授权、,机器人争霸
、游戏乃至实体乐园，将超级网综的超级IP协同效应发挥到极致。,机器人争霸
#机器人争霸#小心！前方黑牛出没！,机器人争霸
无语，怎么就变成吧主了，还删了我的本吧首贴,机器人争霸
《机器人争霸》发布主视觉海报 机械和格斗元素融合,机器人争霸
《机器人争霸》海报 发战旗图腾明星团长成悬念,机器人争霸
国内首档以机器人全球格斗联赛为故事主线的剧情式真人秀《机器人争霸》首曝概念主视觉海报及艺人战旗图腾。这是继节目未播就获得“2018年最具潜力综艺”后的首次官宣。概念主视觉中，机械和格斗元素巧妙融合，红蓝相间中神秘且充满科技感的竞技格斗舱初见真容。随着海报和四组艺人战旗图腾的发布，这档潜伏已久的“机器人格斗世纪大战”正式掀开神秘面纱。,机器人争霸
概念海报初露锋芒 战旗图腾悬疑亮相,机器人争霸
《机器人争霸》旨在利用自身平台优势将机器人竞技文化传递给更多中国观众。此次曝光的概念主视觉机械对抗感十足，海报中最为醒目的除了节目LOGO便是红蓝交错的竞技舞台，机械元素围绕在周围，形成困兽之争的囚笼态势，从视觉上便营造了节目强调的格斗、对抗、碰撞等重要元素。赛场四周围满了摇旗呐喊的观众，身未动战已始，画面瞬间带你穿越至赛场，机器人格斗的热血氛围扑面而来。,机器人争霸
你们举铁无数的奶伦即将切换抡“机”模式，,机器人争霸
快来follow,机器人争霸
，共同引爆钢铁荷尔蒙之战！,机器人争霸
2月3日，由爱奇艺出品的中国首档以机器人格斗全球联赛为故事主线的剧情式真人秀《机器人争霸》启动发布会在京举行。爱奇艺创始人、,机器人争霸
博士，爱奇艺首席内容官,机器人争霸
，爱奇艺高级副总裁、《机器人争霸》总监制陈伟，爱奇艺市场副总裁陈宏嘉、爱奇艺销售副总裁,机器人争霸
等亲临现场，此外，,机器人争霸
如：祝机器人争霸，旗开得胜，点击量节节高升,机器人争霸
加油加油(ง •̀_•́)ง,机器人争霸
早上好！！！！！！！,机器人争霸
早上好！！！！！！,机器人争霸
早上好！！！！！！！,机器人争霸
早上好( ^_^)／,机器人争霸
早上好( ^_^)／,机器人争霸
机器人争霸！！！,机器人争霸
机器人争霸！！！,机器人争霸
【【【本贴禁止回复！违者作封禁处理】】】,机器人争霸
发帖格式与标准：,机器人争霸
更好的浏览环境，也便于管理，在本吧发帖一律加实体【机器人争霸】,机器人争霸
括号内不为五字前缀视为违规。,机器人争霸
