content,playCount,name
哈哈有电影看啦，喜欢这个电影呢[哈哈],9835491,极道少女
看着都很心动了呢[good],9835491,极道少女
小七很酷又是另一风格[可爱],9835491,极道少女
我也很想看这部很燃的电影,9835491,极道少女
很喜欢这海报的设计啊[嘻嘻],9835491,极道少女
朋友都介绍极道少女给我,9835491,极道少女
《极道少女》即将播出好兴奋[可爱],9835491,极道少女
这部极道少女我一直在等啊[坏笑],9835491,极道少女
支持这部电影《极道少女》很有动力有创新,9835491,极道少女
一直在关注《极道少女》的上映准时观看,9835491,极道少女
电影不错，感觉很燃啊[ok],9835491,极道少女
等下告诉朋友看极道少女[坏笑],9835491,极道少女
穿越了？？？？？？？？？？？脑残吧？！,9835491,极道少女
二逼，1分都给不了，还眼瞎评7分,9835491,极道少女
还不错,9835491,极道少女
不好看~刚才看战狼 仿日本风格~看不进去,9835491,极道少女
这到底是穿越剧还是现代剧，特么好凌乱啊。,9835491,极道少女
贼佩服我自己，居然看了五分钟，好吧，实在看不下去了！,9835491,极道少女
垃圾,9835491,极道少女
垃圾成这样的电影不容易,9835491,极道少女
垃圾片,9835491,极道少女
那个白痴导。，，，,9835491,极道少女
快进到30分钟看不下去了 再见,9835491,极道少女
电动车 2480  我晕,9835491,极道少女
不设这个小孩 觉得还不错 怀疑这小孩是不是导演的女儿,9835491,极道少女
有点进步！这是我这一年来第一次垮,9835491,极道少女
好看点赞,9835491,极道少女
什么乱七八糟的!,9835491,极道少女
刚刚看完，赶紧来搜了这个小姐姐，超级喜欢啦,9835491,极道少女
意淫的集大成者非这个导演莫属。。。,9835491,极道少女
菜,9835491,极道少女
这主角光环也是没谁了   ,9835491,极道少女
这，给点个赞,9835491,极道少女
一个帮派老大这么厉害的吗,9835491,极道少女
片名起得不错,9835491,极道少女
加入黑鹰帮这么难啊？,9835491,极道少女
我们走的路不一样，要的也不同，不用非绑在一起,9835491,极道少女
看了之后觉得挺有意思的,9835491,极道少女
讲真电影片头很有大片的感觉,9835491,极道少女
哈哈哈，葬什么爱天团的,9835491,极道少女
俺过年不回去了，没买着火车票啊,9835491,极道少女
我们已经在星空下许下诺言，哈哈哈，葬爱贵族也来掺合来了,9835491,极道少女
这一群尬舞的非主流是个什么情况,9835491,极道少女
其实鱼的记忆很短的，它应该已经忘了,9835491,极道少女
你刚才穿的衣服真的超丑,9835491,极道少女
值得肯定和鼓励的。,9835491,极道少女
画面确实很好！很好！很好！重要的事情说三遍,9835491,极道少女
学生妹好可爱呀，喜欢！,9835491,极道少女
其实电影嘛 就是娱乐娱乐,9835491,极道少女
呕，菊花好疼，哈哈哈,9835491,极道少女
片子不赖 鉴定完毕,9835491,极道少女
又是古代装扮又是现代的，看的有点懵,9835491,极道少女
学生妹都这么厉害。,9835491,极道少女
要逆天了，这身手,9835491,极道少女
哇，一个个小姐姐都这么酷的吗,9835491,极道少女
这就厉害了，以一敌百,9835491,极道少女
还行 挺有趣的 留个记号,9835491,极道少女
马克一下 证明看过,9835491,极道少女
极道少女！,9835491,极道少女
小日本最变态了，这句话说的得人心,9835491,极道少女
叙事和演员方面差了些火候,9835491,极道少女
汤叔就这么领了饭盒。,9835491,极道少女
没下毒也杀了，太残忍,9835491,极道少女
其实还不错 能让我坚持看完,9835491,极道少女
哇，秒杀，贼厉害的,9835491,极道少女
好多水军,9835491,极道少女
"好看
",9835491,极道少女
杀马特是这个剧的亮点,9835491,极道少女
一脸懵比，,9835491,极道少女
回复@用户5904364441:可是小哥没照片儿啊[允悲],9835491,极道少女
回复@裘恩典graceQ:[表情][表情]你回复我啦[哈哈][哈哈]开心,9835491,极道少女
逗比电影，侮辱智商,9835491,极道少女
把书包卸了吧，姑娘。,9835491,极道少女
就这三个妹子 打架  就值得一看,9835491,极道少女
这是啥？  你拍的是啥  ,9835491,极道少女
必须五星,9835491,极道少女
我觉得是群众演员的好演技衬托了她们,9835491,极道少女
回复@多思:喔唷 截图好评[鼓掌],9835491,极道少女
什么乱七八糟的,9835491,极道少女
书包的作用是什么？没看出来,9835491,极道少女
还好,9835491,极道少女
五星级的渣片,9835491,极道少女
废废,9835491,极道少女
支持 肯定支持 典哥我爱你[哈哈][哈哈][哈哈][哈哈],9835491,极道少女
垃圾片,9835491,极道少女
看上去真的很不错爱,9835491,极道少女
一辈子支持你,9835491,极道少女
摄影美术不错，故事讲得太局气，看不下去。乱七八糟,9835491,极道少女
  红啊好片 被 演烂了,9835491,极道少女
太假了，几个女的打架，太假了,9835491,极道少女
就算拿着菜刀   都比东阳刀看的  舒服,9835491,极道少女
看起来就像女版的井柏然,9835491,极道少女
电影一般般，低下产业,9835491,极道少女
那个学生妹挺幽默的,9835491,极道少女
真的垃圾,9835491,极道少女
回复@啊丁丁丁_:谢谢亲 给好评哦亲[馋嘴],9835491,极道少女
回复@biibiubiu是我哦:谢谢支持[表情]️,9835491,极道少女
杀死比尔 中国惊奇先生 综合版,9835491,极道少女
这是来搞笑的？,9835491,极道少女
醉了，还海贼王贴纸,9835491,极道少女
什么辣鸡玩意。,9835491,极道少女
"总有杀死比尔的感觉,",9835491,极道少女
好看,9835491,极道少女
喜剧加幽默,9835491,极道少女
不错   最喜欢暴力萝莉,9835491,极道少女
是麻辣鸡玩意 还这么多好评？？？？？？？？？？？？花钱来的吧,9835491,极道少女
我的天，这是什么鬼剧情，3个小孩灭了一个多年的大帮派？- -主角光环太重了，无语,9835491,极道少女
这个电影看得我想吐，特别是那个非主流头,9835491,极道少女
"是这样的情况 一开始拿这1级装备去打boss 结果男主角带来一个满级的神器 一刀秒杀boss
",9835491,极道少女
典哥最棒[污],9835491,极道少女
小钟丽缇～,9835491,极道少女
感觉还可以,9835491,极道少女
黑鸟帮,9835491,极道少女
我只想说，稀饭里掺饭，贼尴尬。,9835491,极道少女
你又不是鱼你咋知道,9835491,极道少女
呵呵短你妈智障，还真相信鱼只有两秒记忆？,9835491,极道少女
这些女的打的真假，随便去个人都能秒了她们,9835491,极道少女
若兮公主王娟，寒馨公主游丹虹,9835491,极道少女
我|,9835491,极道少女
说实话画面挺棒的..比那些4毛特效阿宝色的电视剧好多了,9835491,极道少女
5星 好评,9835491,极道少女
垃圾,9835491,极道少女
烂烂的不能再烂了烂烂的不能再烂了,9835491,极道少女
看不懂  看不动 看不東,9835491,极道少女
功夫再高，也怕菜刀。说的不假。,9835491,极道少女
牛逼的杀马家族。。。,9835491,极道少女
我是看我哥们黑常的哈哈哈哈哎,9835491,极道少女
有的地方和杀死比尔有点象。,9835491,极道少女
说的没错~~~功夫再高也怕菜刀！！！！,9835491,极道少女
垃圾的一笔一笔的，怎么评的7.7分,9835491,极道少女
emmmmm，尴尬无比,9835491,极道少女
看着就恶心，反正那些死导演永远一个样，敌人永远都是人多的傻子，而且一个人能杀千敌，永远都尼玛邪不胜正。,9835491,极道少女
"狗屁
",9835491,极道少女
什么玩意啊,9835491,极道少女
能弄成这样不错了,9835491,极道少女
"这是一部良心片。演员没有别的网剧的整懒的网红脸，主角颜值都挺高，剧情也挺有意思，葬爱家族也挺牛的
",9835491,极道少女
一个美女救了一个弱智，还好像爱上他，编剧你吃了屎是吧,9835491,极道少女
摄影美术 不错 ，故事 性太弱。,9835491,极道少女
女主 何蓝逗,9835491,极道少女
华丽外表，终将回归故事本体。,9835491,极道少女
尴尬症都犯了,9835491,极道少女
打斗场面太假太做作...,9835491,极道少女
"是不是傻，这么多人，排好队，一人仍一把斧头都够她个小屁孩受的啦。至于被团灭？
",9835491,极道少女
果然还是菜刀厉害,9835491,极道少女
这电影就是来给菜刀打广告的吧，哈哈哈，我的天呐,9835491,极道少女
最好的就是菜刀了，没毛病,9835491,极道少女
希望能多出一些创新,9835491,极道少女
场景堪比大片了，挺漂亮,9835491,极道少女
精致的灯光布局，看得特别舒服,9835491,极道少女
喜感有了，质感也不错,9835491,极道少女
还有进步空间,9835491,极道少女
打斗看着还是挺过瘾,9835491,极道少女
还好啊，不是神剧，挺好看的,9835491,极道少女
把他扶起来，我要和他单挑,9835491,极道少女
配音很酷的呀！嗖嗖的,9835491,极道少女
已经推荐给朋友了,9835491,极道少女
哇，脑子被劈开了吧,9835491,极道少女
我去，爆头啊，看着太恶心了,9835491,极道少女
蛮有正能量的片！,9835491,极道少女
小初要爆炸了,9835491,极道少女
大哥，你手疼不疼啊,9835491,极道少女
美术场景跟服装造型都很棒，有自己的风格，难得一见的好片子,9835491,极道少女
笑死，人丑还脾气大,9835491,极道少女
朋友推荐来看的，总体来说还可以,9835491,极道少女
哦呵，白眉大侠,9835491,极道少女
哈哈哈哈，太可爱了，这气势和配音,9835491,极道少女
拿刀的，给你，丑的，我来,9835491,极道少女
故事主线还是挺精晰的,9835491,极道少女
障碍家族葬爱,9835491,极道少女
服装和布景都挺用心，在网大里面这制作水平实属不易,9835491,极道少女
故事还是很精彩的,9835491,极道少女
真心不错，剧情安排和走向可圈可点,9835491,极道少女
陈七是最酷的,9835491,极道少女
小初是最可爱的,9835491,极道少女
回家听你妈妈的话去,9835491,极道少女
哈哈哈，你是来搞笑的吧，双截棍呢,9835491,极道少女
