content,playCount,name
脑残导演,55050714,特种兵王2使命抉择
        垃圾电影,55050714,特种兵王2使命抉择
2分半钟的突击动作，脚步声音破绽，窗口漏身体，这也能救人？,55050714,特种兵王2使命抉择
烂片啊 无力吐槽,55050714,特种兵王2使命抉择
这女警，你麻辣隔壁，到船上人没看见，尸体没看见。旁边的老头还在谢谢当兵的。你他妈的不问下人去那了。在那哭个毛？？这是什么弱智电影,55050714,特种兵王2使命抉择
说实话是真的恶心，无力吐槽,55050714,特种兵王2使命抉择
导演就是个垃圾 这种垃圾电影也好意思拍,55050714,特种兵王2使命抉择
这种垃圾电影我竟然看完了,55050714,特种兵王2使命抉择
丢人现眼,55050714,特种兵王2使命抉择
看不懂垃圾,55050714,特种兵王2使命抉择
这也叫电影，还7.6说是垃圾都都是侮辱垃圾,55050714,特种兵王2使命抉择
看过最垃圾的电影,55050714,特种兵王2使命抉择
垃圾,55050714,特种兵王2使命抉择
这种电影以后别拍了，真的是烂的一塌糊涂.,55050714,特种兵王2使命抉择
挂羊头卖狗肉   我只想知道这个剧情跟封面有什么关系   而且这剧情都都不咋地,55050714,特种兵王2使命抉择
臂章都带错位置了,55050714,特种兵王2使命抉择
演技僵硬就是在读剧本可悲啊,55050714,特种兵王2使命抉择
这么烂还敢出来播？真浪费底片！,55050714,特种兵王2使命抉择
剧本烂，台词烂，演员演技也烂，哎,55050714,特种兵王2使命抉择
垃圾                                   ,55050714,特种兵王2使命抉择
要演技没演技，要特效没特效.要剧情？有剧情吗.垃圾得一逼.7.5分绝对刷的,55050714,特种兵王2使命抉择
垃圾,55050714,特种兵王2使命抉择
零星吧。演技太差，尤其是女一号演技太烂,55050714,特种兵王2使命抉择
一星,55050714,特种兵王2使命抉择
4分   差评,55050714,特种兵王2使命抉择
咱当兵的人就是不一样,55050714,特种兵王2使命抉择
剪辑风格我就感觉出了异样,55050714,特种兵王2使命抉择
绝地求生既视感,55050714,特种兵王2使命抉择
不想说什么,55050714,特种兵王2使命抉择
垃圾 ,55050714,特种兵王2使命抉择
我是来看评论的,55050714,特种兵王2使命抉择
 我怀疑拍这些垃圾电影都是用来给洗钱的，国产这类电影拍成鬼了,55050714,特种兵王2使命抉择
大将军？,55050714,特种兵王2使命抉择
差,55050714,特种兵王2使命抉择
国产片越来越垃圾！！！！,55050714,特种兵王2使命抉择
什么逻辑简直就是垃圾,55050714,特种兵王2使命抉择
真的垃圾电影的没的垃圾,55050714,特种兵王2使命抉择
还我流量。,55050714,特种兵王2使命抉择
这部片的导演不是一般的没脑，开枪打出的血是会会的红粉，开着车来到人家门口关车门那么大力，下了车又小变得小心走路怕被里面的人听到,55050714,特种兵王2使命抉择
垃圾,55050714,特种兵王2使命抉择
垃圾电影   浪费我时间,55050714,特种兵王2使命抉择
这主角走路动作就一变态，拍个屁特种兵，垃圾电影,55050714,特种兵王2使命抉择
垃圾,55050714,特种兵王2使命抉择
什么垃圾电影，什么破剧情,55050714,特种兵王2使命抉择
垃圾中的战斗机,55050714,特种兵王2使命抉择
真的很垃圾,55050714,特种兵王2使命抉择
