content,playCount,name
特别好看[挤眼] 感谢导演，演员以及所有工作人员为最后屏幕上的美好呈现所付出的努力[心][心]非常正能量[心][心],7211026,私人英雄 
还是漫画好看,7211026,私人英雄 
这场地跟西游记那个场地一样的啊,7211026,私人英雄 
你们是没看过私人英雄这个漫画吧？嗯?,7211026,私人英雄 
垃圾电影,7211026,私人英雄 
太平镇！,7211026,私人英雄 
太平镇是我们的小镇也，山东省邹城市太平镇！,7211026,私人英雄 
我对我不好我叫陈,7211026,私人英雄 
哎~~~~~~~~~~~~~~~~~~~~~~~~~~,7211026,私人英雄 
我的眼睛,7211026,私人英雄 
怎么和漫画  天上地下？,7211026,私人英雄 
开头是真心不咋样，但后面是挺好看的，特别是雄先生笑得好甜啊哈哈哈,7211026,私人英雄 
虽然知道绝对不可能像漫画那样，但这也太毁原作了。,7211026,私人英雄 
很喜欢,7211026,私人英雄 
女主很气质哦 你们衣服也很好看 星空裙嘛[挤眼],7211026,私人英雄 
好烂的,7211026,私人英雄 
中二的感觉,7211026,私人英雄 
垃圾东西·,7211026,私人英雄 
"没有看完，只是觉得里边大多数桥段早已耳熟能详，模仿充斥着整部电影。其他的，说起来电影的中心思想，还是比较正面的。不要谩骂每一步电影制片，或者导演，又或是演员，因为拍摄如此不易，也许你不必赞扬它，但起码要保持一份尊重呀，不是么？
那些口吐脏话的，要不你来试试？",7211026,私人英雄 
导演是傻逼吧 拍这样的垃圾片子,7211026,私人英雄 
你成功的把我骗进来了   我选择漫画,7211026,私人英雄 
"看之前带着一丝期待！私人英雄漫画很不错，挺推荐大家看一下！但是，这个电影是什么东西？？？和漫画有关系吗？再者说，演的什么东西？演技（笑~）！还有这剧本。。。无力吐槽！真的很郁闷，我怎么把它看完的~看的人辣眼睛啊！还有那些水军啊,我看完领红包的评论，牙都快笑掉了！",7211026,私人英雄 
什么鬼,7211026,私人英雄 
我刚刚看到这部电影，以为是古装类型的电影。但是发现不像，好像是民国类型的。但是从这部电影来看还是不错的。,7211026,私人英雄 
开头就是渣,7211026,私人英雄 
烂片中的烂片，还他妈7分，水军真牛逼,7211026,私人英雄 
开头的 旁白的声音好像我的班主任,7211026,私人英雄 
我喜欢这个电影，电影情节跌宕起伏，故事栩栩如生，看的人感同身受，好评！,7211026,私人英雄 
难看死了,7211026,私人英雄 
画质制作精美，布景精良，剧情展开合理流畅。在制作成本有限的情况下，能给出这样的作品，相当不易。充分体现了制片人专业的协调和控场能力,7211026,私人英雄 
终极杀人   王中王、 还是   终极杀人王、 中王,7211026,私人英雄 
一直就很喜欢《私人英雄》动漫，相信电影做的一样很好。,7211026,私人英雄 
喜剧电影一直都是年轻人所喜爱的题材之一，而在搞笑的之外，融合无厘头 反英雄风格特点，更能够激发带动观众笑点!,7211026,私人英雄 
