content,name
偶像练习生投诉专贴,偶像练习生
大家来猜猜偶像练习生最后挺近神九的黑马是谁？,偶像练习生
为小鬼打call不停～#偶像练习生# #小鬼# 看偶像练习生,偶像练习生
【偶像练习生】自制音源汇总贴（持更）,偶像练习生
偶像练习生巡演预定了 现在开始接所有场次的预定‼️没错 你没,偶像练习生
喜欢《偶像练习生》的小伙伴加微信群，一起看一起聊一起玩！,偶像练习生
难道只有我一个人觉得毕雯珺在偶像练习生里的造型越来越像吴亦凡,偶像练习生
为小鬼打call不停～,偶像练习生
看偶像练习生中发现小鬼rap吐字清晰 声音辨识度高还好听 瞬间圈粉 在之前的表演中 小鬼表演前一直看观众席他的鬼姐姐来了多少 可是那次没有去多少人 他都低下头不说话了 可上台表演时他满脸笑容把最好的自己 采访时还说排名得票不在乎 其实是不想让我们有压力 小鬼太坚强了 希望大家多去给小鬼刷直拍投票 不想在让小鬼露出失落的表情了😣 大家顶起来不要沉 一起加油送他出道,偶像练习生
小鬼rap不错，不出意外前六出道稳稳的,偶像练习生
看得出来小鬼是心地很善良很为别人着想的人，长得好又有实力，应该出道~,偶像练习生
别说小鬼稳根本一点都不稳和后面追的那么紧前面又差的那么大 鬼姐姐们要加油焊死这,偶像练习生
第一张图是不是没动？,偶像练习生
一般选秀节目都会在后期窜出黑马选手为节目增加爆点，我相信像偶像练习生这档综艺选秀是肯定会有这样的剧本的，如今20强选手最有可能成为黑马的有下面4位，不知道你更支持谁？,偶像练习生
1.朱星杰  黑马几率：80%,偶像练习生
节目后期不管是镜头数量还是导师好评呈一边倒向朱星杰，朱星杰的强硬实力也是越来越明显，而且顺位也是步步紧逼出道圈，算是黑马几率最高的一个孩子。,偶像练习生
如果有黑马那就林彦俊百分之90,偶像练习生
当然私心希望是郑锐彬,偶像练习生
2.林彦俊 黑马几率：60%,偶像练习生
老实说林彦俊真的要好好感谢剪辑师，我相信在学员内部评选最帅练习生之前关注这个人的观众肯定不多，但自从评选为最帅练习生后林彦俊路人好感度频频上升，加上理性的性格和出色的舞台表现林彦俊的顺位已经杀进上位圈，黑马几率也是非常高,偶像练习生
林彦俊真的很有可能,偶像练习生
私心想让郑锐彬冲进去！！,偶像练习生
讲真 get不到林的颜 并且实力并不出色 ，而且上圈位rep够了 需要vocal 和dance，,偶像练习生
然后朱星杰实力在线，但是总感觉颜没什么偶像的感觉。。可能个人审美吧，,偶像练习生
个人看好李希侃 定位是dance 颜也是南图颜,偶像练习生
偶像练习生投诉专贴,偶像练习生
1.整楼不带链接，不处理；抽层不带层号不处理,偶像练习生
2.是否违规见吧规,偶像练习生
吧务近期内会有变动，想要为贴吧贡献力量的敬请留意。,偶像练习生
理由：以偏概全。私人恩怨。与偶像练习生主旨无关。引战不同粉丝群,偶像练习生
举报id追梦的女子,偶像练习生
发了好多贴，全是造谣的,偶像练习生
理由：引战、攻击特定选手。企图造成不同粉丝之间的纷争,偶像练习生
低端反串黑。故意引战,偶像练习生
zz相关话题 引战特定艺人 。低端反串黑,偶像练习生
理由：谩骂 引战 人身攻击,偶像练习生
说说你唯一Pick的偶像练习生吧,偶像练习生
谁知道偶像练习生在哪录制呀！,偶像练习生
偶像练习生出道演唱会接预定 目前得到的消息是上海 南京 杭州,偶像练习生
偶像练习生巡演时间公布,偶像练习生
命理+个人角度开扒【偶像练习生】各位学员,偶像练习生
偶像练习生坤音四子：岳岳淘汰，木子洋淘汰，灵超弟弟和卜凡情绪,偶像练习生
偶像练习生演唱会门票谁有？    最后一场是什么时候？,偶像练习生
分享一下偶像练习生里面比较喜欢的歌曲音源,偶像练习生
难道只有我一个人觉得毕雯珺在偶像练习生里的造型越来越像,偶像练习生
气质不同哦，希望大家多多关注低调颜好的毕雯珺，187长腿vocal～,偶像练习生
1.我并不觉得像，2.舞台造型有问题找爱奇艺。,偶像练习生
在韩国刚出道的时候很像啊，就是毕,偶像练习生
不觉得像，各有各的帅气，但我更喜欢,偶像练习生
我也觉得有点像！！！！！,偶像练习生
并不像 毕是很阳光正气的帅 越看越帅,偶像练习生
各有特长，看好毕社长。,偶像练习生
提鞋都不配好吗，毕粉别捆绑,偶像练习生
对，只有你一个人,偶像练习生
对 只有你一个人,偶像练习生
表白凡凡，毕社长有自己的风格是不像的。,偶像练习生
毕社长真不错，现实生活中绝对男神级别,偶像练习生
各有各的帅气，不过很吃社长颜值，半兽人高音部分被圈粉,偶像练习生
抱走毕社长，比不起比不起,偶像练习生
不要给毕社长招黑。这样会让凡家很反感。,偶像练习生
上磊子平时的照片更像老吴,偶像练习生
不像不像，抱走毕雯珺，比不起,偶像练习生
毕社长很帅，也不需要像谁哦，这么比真的招黑啊，希望各位梅格妮不要生气啦,偶像练习生
为了方便我们的沟通交流，建了一个《偶像练习生》的群！这里是迷弟迷妹的聚集地，我们都支持自己喜欢的爱豆，一起畅聊，和谐美满！,偶像练习生
、程潇、周洁琼，还是喜欢,偶像练习生
偶像练习生巡演预定了 现在开始接所有场次的预定‼️没错 你没有听错 开所有场次预定‼️,偶像练习生
只要他们去的 我都去帮你们拿票‼️不过预定的场次人越多 价格越便宜 所以快拉上你的小伙伴一起来预定‼️还有广东的场次肯定会拿的 所以广东场的快来找我‼️(PS：时间地点 一切以官宣为准）,偶像练习生
有意者微信:chensanjinxiannv,偶像练习生
天津场也预售了吗？,偶像练习生
天津预售麻烦通知一下可以吗？,偶像练习生
因为现在暂时找不到音源,偶像练习生
本楼楼就自己动手做了音频,偶像练习生
会更节目中和直拍中的两种音频,偶像练习生
（因为我总觉得它俩不一样,偶像练习生
所以你们喜欢哪个,偶像练习生
都是网盘自取哟！,偶像练习生
纯享版（小组对决+位置测评）链接：,偶像练习生
表演版（不完整位置测评）  链接：,偶像练习生
楼主爱你么么哒。。。。终于有我怀念的可以听了,偶像练习生
感谢楼主，为你打call,偶像练习生
太厉害了 超可爱的楼主阿~,偶像练习生
小组对决（表演版）  链接：,偶像练习生
主题曲《Ei Ei》链接：,偶像练习生
新锐杂志《Dangerous》——朱匀一、朱匀天、万宇贤、应智越、赵俞澈,偶像练习生
偶像练习生直拍 主题考核,偶像练习生
想问下偶像练习生是已经录完了才播的还是一边录一边播,偶像练习生
偶像练习生粉丝1⃣️群满人 2⃣️群新建,偶像练习生
偶像练习生位置测评音频,偶像练习生
【偶像练习生】乐华七子的leader,偶像练习生
分享一下偶像练习生里面比较喜欢的歌曲音源,偶像练习生
第一首 can't stop 特别喜欢这首是A组的链接:,偶像练习生
支持下  期待小半,偶像练习生
第二首 PPAP 链接:,偶像练习生
第三首 我怀念的 链接:,偶像练习生
还有其他的歌曲  跪求,偶像练习生
第四首 大艺术家A组链接:,偶像练习生
第五首 Aritist链接:,偶像练习生
小贾弟弟果然长大了,偶像练习生
请问有没有小半的音源啊？,偶像练习生
太棒了，谢谢楼主,偶像练习生
第六首 小半 我放在4楼了,偶像练习生
第七首 巴比龙 链接:,偶像练习生
第八首 爱你 链接:,偶像练习生
请大家多多pick坤音四子,偶像练习生
偶像练习生演唱会门票谁有？,偶像练习生
最后一场是什么时候？,偶像练习生
我买了4月份决赛门票,偶像练习生
偶像练习生坤音四子：岳岳淘汰，木子洋淘汰，灵超弟弟和卜凡情绪低落的送二人离开，心疼，小弟你不要哭啊，你一哭我都想哭了。,偶像练习生
岳岳洋哥，欢迎回家,偶像练习生
有些故事结束是为了更好的开始,偶像练习生
哭了，希望灵超鹅能出道,偶像练习生
啊  我的坤音四子啊,偶像练习生
洋哥走了 小弟怎么办,偶像练习生
一张图 送你一箱,偶像练习生
坤音女孩绝不认输...真的心痛啊 我们有文化有背景的老岳和洋哥哥 剩下忙内line 真的心痛到不知道说啥了,偶像练习生
我去我真不知道要说啥了，虽然有心理准备，还是很难过,偶像练习生
我以为他们能进前20的...,偶像练习生
明明数据都很好啊,偶像练习生
271太不是人了 几期节目下来坤音坤音镜头都少的可怜,偶像练习生
一开始我都不知道有木子洋这个人 还是看坤音日常才被圈粉的 气死了,偶像练习生
大伯也出厂了   我还刚刚get到啊,偶像练习生
宿舍越来越冷清了,偶像练习生
我很担心弟弟的情绪,偶像练习生
大家不要丧，回去未必事件坏事儿，咱们也不求指着271这个节目出道（也根本指望不上），有了知名度就是最大的收获。,偶像练习生
超鹅不哭，我们带着哥哥的梦想走下去！！！,偶像练习生
作为梁妻我是真的不懂为什么洋哥会被淘汰,偶像练习生
他人气真的可以 各项数据都不错,偶像练习生
最后希望超鹅和哈士奇加油!带着哥哥们的拼劲走下去,偶像练习生
坤音女孩绝不认输!,偶像练习生
欢迎回家洋哥岳叔，凡子和弟弟就再努力一把，我们坤音女孩永远是你们的坚强的后盾,偶像练习生
首先声明 楼主是专职做命理咨询 占卜这方面的 从业56年,偶像练习生
用的体系主要是一个跟塔罗和占星都有关的历法 国内比较少有人用 是根据生日对照历法上会有代表的牌 非随机抽取 所以不要自己随便抽张牌 在楼里问我自己是这张牌 是什么意思 也请不要让我代看 我看的话是收费的  目前手头个案也足够 不是来推广业务的 只是来娱乐八卦,偶像练习生
简单说就是只讨论偶像练习生的各位,偶像练习生
楼里所说的内容大家信就信 不信可以纯当娱乐,偶像练习生
实在就觉得是封建迷信的可以点×,偶像练习生
因为刚看第一期节目 对选手们也不是很了解 如果不喜欢谁也会直说 请粉丝们手下留情,偶像练习生
他给我感觉是教科书式的男idol 感觉看所有明星文里我脑补出的大明星男主走到现实的话就是他这个样子了,偶像练习生
骑士牌本身是个艺人牌 钱币骑士就更像是商业明星 很多人说艺人是青春饭,偶像练习生
因为我们三十岁以前同花色的骑士牌可以作为是我们的身份牌 相当于本身不是艺人牌的人年轻时如果选择这个职业也可以受到艺人牌一定的加持 到了三十岁以后身份牌更多地就转成国,偶像练习生
蔡徐坤本身就是钱币骑士的牌 他的演艺生涯是很长远 本身可塑性也很强,偶像练习生
骑士牌也有自己的创作能力,偶像练习生
但的确这张牌是偏商业化的 所以,偶像练习生
在书中也经常大量描写一些商业品牌什么的,偶像练习生
蔡会有很多创作能力 未来自己词曲创作的作品应该也会很多 但是需要可能注意要创作真正“有价值”的作品 而不是满满商业味的作品,偶像练习生
钱币骑士同时也是带货王,偶像练习生
同样钱币骑士的还有广告明星出身的,偶像练习生
郭碧婷在【女神的新衣】中也是上身的衣服各种卖高价,偶像练习生
蔡徐坤 如果我是企业的话广告就用他 绝对好,偶像练习生
王座阻碍:首先不看命理 单说 他实力这么强人气也高的选手 夺冠的话没有悬念 不夺冠他自己面儿上又挂不住 所以会比较担心是一种套路 就来圈波粉丝半路会退赛那样,偶像练习生
而且骑士牌就像我说的 艺人感很强 我觉得他会是指哪打哪的 可塑性非常强的人,偶像练习生
但是怕个人特色不足,偶像练习生
现在很多的流量小生都是钱币元素,偶像练习生
全是 他们自己本身两张牌(每个人本来是两张牌 但是狮子座人是两张牌都是同一张 所以蔡就变一张)再加上身份牌 钱币骑士 磁场就会丰富一些,偶像练习生
北京4月6日总决赛,偶像练习生
巡演第一站 上海5月6日,偶像练习生
巡演第二站 杭州6月30日,偶像练习生
5.6才是梅奔？,偶像练习生
圈钱活动 马上开始,偶像练习生
上海巡演票价多少钱呢？,偶像练习生
巡演的是哪些人？全部还是前九？,偶像练习生
哎4.6去不了了 4.6我考试出成绩,偶像练习生
如果朱正廷出道   肯定会去   希望给我个机会 啊,偶像练习生
新专辑都没有，歌都没有，巡演唱什么？？eieie？,偶像练习生
如果不出专辑的话，唱这次几首原创，还有决赛会有原创的吧,偶像练习生
希望长沙能有一场,偶像练习生
巡演就是趁着热度榨钱呗，还管你有歌没歌，所有的选秀节目比赛结束后比都这样？1年半合约外签的又不管他们的事，先捞一笔再说,偶像练习生
啊啊啊求淘宝链接,偶像练习生
出4月6号偶像练习生总决赛、巡演门票      关于偶像练习生决赛和巡演：目前的最新信息,偶像练习生
1、4月6日，总决赛，北，具体地址待公布，门票预订火爆，价格会很贵，歌迷可以先预订到时有票通知选座补款，预订金可退可抵；,偶像练习生
2、巡演第一站，5月6日，上海梅赛德斯奔驰文化中心，票价未公布，目前接受预订，出票了通知选座补款，预订金可退可抵；,偶像练习生
3、巡演杭州站，6月30日，杭州黄龙体育馆，票价未公布，目前接受预订，出票了通知选座补款，预订金可退可抵。预订金：看台随机200，看台前排300，内场随机500，内场前排800。,偶像练习生
4、上述三个项目现在还没票价，要出票了有具体位置、根据市场行情才会有具体价格。一票一价，一时一价，一座一价。,偶像练习生
预订V是15155121440,偶像练习生
20号廊坊加录仅限今天最后2个名额,偶像练习生
难受，决赛后一天高考,偶像练习生
楼主大大，多少钱的票呀？,偶像练习生
楼主 你杭州看嘛 到时候你知道多少钱的话告我一声好嘛,偶像练习生
偶像练习生出道演唱会接预定 目前得到的消息是上海,偶像练习生
杭州 广州 沈阳,偶像练习生
录制到什么时候啊？,偶像练习生
不是在北京录的吗,偶像练习生
我可以告诉你，我在那里做保卫？在河北,偶像练习生
是一直在廊坊录吗,偶像练习生
***，都看了两期了我才知道在我家这边录制的。。。,偶像练习生
啊啊啊啊啊我家就是廊坊本地的啊,偶像练习生
我也是廊坊的，想去看,偶像练习生
想去厂外有黄牛买票吗？,偶像练习生
我只能告诉你，他们穿的衣服是斯凯奇的,偶像练习生
大厂，我正要去？带你一程？,偶像练习生
创世纪影视人才孵化基地,偶像练习生
可以去现场吗 我在那里读书,偶像练习生
说说你唯一Pick的偶像练习生吧,偶像练习生
我先说我的：秦奋,偶像练习生
没有撕b骂战的净土，邦邦安利贴欢迎做客,偶像练习生
one pick的话，郑锐彬或者jeffrey，，看谁能留到最后了，，如果都可以，，郑锐彬吧,偶像练习生
李希侃啊啊啊 大家多多pick他吧 完全有爱豆气质啊,偶像练习生
【歌曲】偶像练习生所有歌曲,偶像练习生
偶像练习生表情包！免费分享,偶像练习生
偶像练习生你pick谁？,偶像练习生
偶像练习生音源分享,偶像练习生
偶像练习生全体九九八十一神剪辑，全体练习生,偶像练习生
请多支持偶像练习生 jeffrey董又霖,偶像练习生
【偶像练习生】压一波乐华七子的leader,偶像练习生
乐华七子（按年龄排序）,偶像练习生
96朱正廷 舞担,偶像练习生
97毕雯珺 歌担,偶像练习生
98黄新淳 歌担,偶像练习生
99丁泽仁 舞担 Rap担,偶像练习生
（流量担当? 门面担当?）,偶像练习生
01李权哲 舞担,偶像练习生
02Justin  Rap担,偶像练习生
（之前正正和Justin上PD101的时候，图图李义雄是leader，那今次的leader会是谁呢，开播之前的无奖竞猜哈哈哈，欢迎大家交流讨论）,偶像练习生
感觉有可能是正正，毕竟正正是大哥哈哈哈,偶像练习生
也有可能是毕雯珺～,偶像练习生
压正正 目前的传统看来 谁大谁当 在韩国哪个韩国人大就是韩国队长 在中国哪个中国人大就是,偶像练习生
丁最有实力，跳咕咕哒的那位，希望公司主推一下他，长得也不错,偶像练习生
正正比较软萌  要严肃一点的  毕雯珺队长吧,偶像练习生
小仓鼠权哲和贾富贵不太可能，都是可爱的忙内啊,偶像练习生
的一分钟自我介绍，说不准有成熟稳重的哈哈哈,偶像练习生
补充一下前面的，Justin还是舞担哈哈哈，手抖写漏了,偶像练习生
黄新淳歌担？？不要吓我。他唱歌走调可不是一般的严重。,偶像练习生
丁泽仁说过他在团队里的担当主领舞还有说唱，,偶像练习生
说他是团队里的主Rap。真的就是一个团的感觉了，所以有队长也很正常了。,偶像练习生
队长啊！那我压一波老毕吧，目前他给我的感觉是稳重的,偶像练习生
没看过原版，我估计明年我得补一堆综艺了,偶像练习生
偶像练习生位置测评音频,偶像练习生
你们想要哪一个呀？,偶像练习生
没人吗？？？？？,偶像练习生
好吧，有人再发。。。大家可以说想要谁的，我发谁的。。。,偶像练习生
can't stop,偶像练习生
can't stop,偶像练习生
希望大家多多pick坤坤，谢谢啦,偶像练习生
偶像练习生粉丝1⃣️群满人 2⃣️群新建,偶像练习生
要进群的➕楼主微信 zwq2991314,偶像练习生
微信留下我来加⬇️,偶像练习生
jacquelineyii,偶像练习生
jiajia250061334,偶像练习生
1243556385,偶像练习生
15277408381,偶像练习生
18033332245,偶像练习生
想问下偶像练习生是已经录完了才播的还是一边录一边播,偶像练习生
还要根据投票弄排名的怎么可能录完播,偶像练习生
偶像练习生直拍 主题考核,偶像练习生
暂时先不统计数据,偶像练习生
如有错误欢迎指正,偶像练习生
等播放量都破万次 再来统计,偶像练习生
偶像练习生直拍 主题考核,偶像练习生
cxk 3.5万,偶像练习生
cln 1.5万,偶像练习生
fcc 1.1万,偶像练习生
"justin 7,713",偶像练习生
偶像练习生直拍 主题考核,偶像练习生
cxk 4.1万,偶像练习生
cln 2.0万,偶像练习生
fcc 1.5万,偶像练习生
zzt 1.4万,偶像练习生
justin 1.4万,偶像练习生
偶像练习生直拍 主题考核,偶像练习生
cxk  5.3万,偶像练习生
cln 2.5万,偶像练习生
justin 2.4万,偶像练习生
fcc 1.9万,偶像练习生
zzt 1.7万,偶像练习生
偶像练习生直拍 主题考核,偶像练习生
cxk  8.2万,偶像练习生
偶像练习生巡演各个城市预定,偶像练习生
有知道偶像练习生巡演的票在哪里可以买到么 正规的那种❤,偶像练习生
蔡徐坤在偶像练习生里是否会带旺队友？,偶像练习生
偶像练习生同款，跟爱豆同款，应有尽有哦,偶像练习生
偶像练习生大新瓜！我猜一定是假的,偶像练习生
请多支持偶像练习生 jeffrey董又霖,偶像练习生
可爱害羞又腼腆的jeffrey哈哈哈哈 爱死他,偶像练习生
Jeffrey反差不要太可爱，顶楼主，希望钟意Jeffrey的多多顶帖,偶像练习生
请大家多多pick pick jeffrey哦,偶像练习生
总是分不清他和王子异哈哈哈 可能是第一期他们俩衣服有点像,偶像练习生
dd我jeffrey,偶像练习生
董又霖小哥哥可以说是非常帅了 哈哈哈哈哈,偶像练习生
- #Justin#,偶像练习生
姐姐年纪大，不掐，不吹，不捧，不黑！！,偶像练习生
音源目前就压了几首个人喜欢的，还有扒了一些！如果你们还有其他想要的，姐姐会看情况和心情满足大家的需求。要是无能为力压不出来就给你们扒，扒不出来就只能对不起了，望大家理解！,偶像练习生
小组对决 《Can't Stop》A组,偶像练习生
位置测评 《我怀念的》,偶像练习生
位置测评 《Artist》,偶像练习生
位置测评 《小半》,偶像练习生
位置测评《爱你》,偶像练习生
有没有always online啊,偶像练习生
位置测评《巴比龙》,偶像练习生
暂时以上，谢谢！,偶像练习生
最后切勿只做伸手党！,偶像练习生
对了，Dance组的音源不压，他们主要show舞蹈的而且也没有带麦。所以，若求音源请支持正版！,偶像练习生
有very good吗,偶像练习生
偶像练习生你pick谁？,偶像练习生
只pick蔡徐坤,偶像练习生
没有和我一样喜欢超级多的么,偶像练习生
我喜欢刷票王王子异,偶像练习生
想为你pick的人打call私聊我制作,偶像练习生
觉醒东方和Jeffrey,偶像练习生
今天刷直拍了么？,偶像练习生
还有一天可以看喽兴奋,偶像练习生
Jeffrey 林俊彥,偶像练习生
❀⚘朱༵星༵杰༵！⚘❀,偶像练习生
人间仙子朱正廷！,偶像练习生
蔡徐坤蔡徐坤蔡徐坤,偶像练习生
只pick蔡徐坤！,偶像练习生
只pick蔡徐坤,偶像练习生
乐华好多第一……,偶像练习生
Jeffrey和王子异,偶像练习生
要做自己偶像的私聊哦,偶像练习生
偶像练习生表情包！免费分享,偶像练习生
楼楼喜欢农农！！有一起的吗哈哈哈,偶像练习生
谢楼主 ，表情包已到手,偶像练习生
【歌曲】偶像练习生所有歌曲,偶像练习生
没错 我就是很无聊,偶像练习生
赖冠霖MV音乐《Nothing Without You》Wanna one,偶像练习生
麦锐娱乐练习生（罗正 邓烺怡 李希侃 余明君 孙凡杰 吕晨瑜 ）团体表演《流行》,偶像练习生
麦锐娱乐余明君跳舞《My Own》J.MagFly,偶像练习生
练习生（董岩磊）表演,偶像练习生
野火娱乐练习生(许凯皓)表演《Uptown Funk》Mark Ronson/Bruno Mars,偶像练习生
新湃传媒练习生(于斌)表演《Sadness》,偶像练习生
于斌MV歌曲《Sadness》,偶像练习生
红熠文化练习生(何东东 李长庚)表演,偶像练习生
Justin Bieber,偶像练习生
Joy Star练习生(梁辉)表演《Turn Up》,偶像练习生
梁辉MV歌曲《OnlyYou(?????)》24K,偶像练习生
《小混混》24K,偶像练习生
个人练习生(蔡徐坤)表演《I Wanna Get Love》蔡徐坤,偶像练习生
传奇星娱乐练习生(陈立农)表演《女孩》韦礼安,偶像练习生
陈立农出场音乐 《浮农》岡部啓一,偶像练习生
陈立农跳舞《Rumors》Jake Miller,偶像练习生
0点来更第二期 欢迎报错 补充,偶像练习生
李权哲 黄新淳 丁泽仁 毕雯珺 Justin 朱正廷)团体表演 《EOEO》UNIQ,偶像练习生
