content,name
太棒了！等了两年的天才j马上就要回归了！开心,天才j
天才j第二季要来了,天才j
天才j设定集,天才j
天才j第二季简介,天才j
genius J°『天才j第二季有没有出来』,天才j
天才j的几个逻辑问题，感觉不太不严谨，求指教,天才j
天才j剧情精彩度直追毛骗（终结篇）,天才j
genius J°『消息』果然是日文版的天才j啊!,天才j
genius J° 发现《天才j》中一些奇怪的现象。,天才j
看完天才j第一季时我是初三，现在已经是高二的人了,天才j
期待天才j第二季,天才j
今天又复习了一遍两大公式，有几个问题，1.属性公式和坐标公式是一个吗？2.坐标公式得出来的是带入者的未来时空坐标，那需要用开闭值改变的事件的时空坐标是哪组变量带入得出的？3.坐标公式带入的时空坐标得出的未来时空坐标理论上来讲是随机的吧，如果得到的未来时空坐标是一秒后或者是10年后的话那不是毫无意义了么？4.还有我没搞懂张少驰被续了他父亲的命之后的命运应该是生，那他是什么时候被s改成死的呢？，扔棒球么？,天才j
你确定你没毛病？,天才j
在第一季的最后，j为了抵消【偶然公式】的应用发明了【环状数学模型】（环状模式），并让管家勺子封存了【生命公式】（j公式）和【偶然公式】（z公式）。,天才j
高中生阿J（陈思宇饰）出生在一个被诅咒的天才家族，有着最强大脑的他发现了一条左右人类生命的公式，仅剩三个月生命的阿J誓要改变自己家族早逝的命运，而纯萌校花初夏（王梓清饰）也在此时意外撞进了他的生活。两人一路探索，发现这世上竟然还有极少数人突破了生死的法则，不受生命公式的制约。一个自称,天才j
万万没想到，一直安静如鸡的特别关注号昨天终于发,天才j
超级喜欢电视剧《天才j》的，等了都快两年了，我都要认为导演打算弃坑了,天才j
旋转跳跃我闭着眼哈哈哈哈哈哈,天才j
啊啊啊啊啊，我的阿j我的思宇哥哥,天才j
我的初夏我的丸子小姐姐,天才j
导演大大请受我一拜,天才j
这张发现丸子好高啊,天才j
坐等电影上映就好啦,天才j
天哪，好几年了，我都快忘了天才j了，今天突然想到，来吧里看看，居然碰到这么好的消息,天才j
"乱步奇谭 Game of Laplace 和天才j好像啊,谁抄谁的?",天才j
大家好天才j,天才j
genius j°『小说』穿越到天才J,天才j
genius J°【口琴】初夏-天才j插曲,天才j
genius J°『泥们是通过天才j知道丸子的吗』,天才j
天才j里最聪明的人是谁，让我们来猜猜第二部的剧情吧,天才j
有问题：j吃药电视剧里救命，药效救命，但是医生没有那条公式啊,天才j
高三看，现在我大二。支持陈思宇，支持地狱蝴蝶丸,天才j
哈哈初一看的，刚关注贴吧时只有一百多个人，现在都11级了,天才j
高二看的，忘不了那个美好的季节。现在已经大一了，怀念高中啊,天才j
初一看的，然后好久没有接触手机，结果第二季还是没出,天才j
初二看的，现在高一,天才j
我看的时候初一，现在初三,天才j
不会像全职一样吧,天才j
我也是的(=^^=),天才j
五年级看的，现在五年级,天才j
初三看的现在高二,天才j
五年级看的，现已初一,天才j
初三看的现在高二,天才j
幼儿园看的 现在已经一年级了,天才j
微能力者可以甩毛骗,天才j
genius J。 『宣传』天才j语c群欢迎你,天才j
genius J°    我们等待的天才j第二季,天才j
天才j穿帮,天才j
天才j啥时候能出第二季哎,天才j
天才j 电影里面穿的衣服淘宝有卖吗？,天才j
天才j的主题歌音乐是硫磺岛的家书里的,天才j
话说什么时候天才j能出第二季,天才j
谁知道天才j01集第,天才j
谁有天才j的ep呐，发我一份好嘛～,天才j
求天才j中的魔鬼标志,天才j
genius j。 第一次在天才j8发帖,天才j
genius J°『发现』天才j的取景在东软,天才j
genius J°『自制视频』天才j混剪,天才j
genius J【天才j要进军海外市场了！我好激动啊！】,天才j
gienus J°『外交』天才j网络剧吧前来外交,天才j
